,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB01590,Afinitor (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
1,DB01590,Afinitor Disperz (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
2,DB00041,Aldesleukin,Aldesleukin,"125-L-serine-2-133-interleukin 2 (human reduced),Interleukin-2 aldesleukin,Interleukin-2(2-133),125-ser,Recombinant interleukin-2 human"
3,DB00112,Avastin (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
4,DB11945,Avelumab,Avelumab,
5,DB06626,Axitinib,Axitinib,
6,DB11945,Bavencio (Avelumab),Avelumab,
7,DB00112,Bevacizumab,Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
8,DB08875,Cabometyx (Cabozantinib-S-Malate),Cabozantinib,Cabozantinib
9,DB08875,Cabozantinib-S-Malate,Cabozantinib,Cabozantinib
10,DB01590,Everolimus,Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
11,DB11800,Fotivda (Tivozanib Hydrochloride),Tivozanib,Tivozanib
12,DB00041,IL-2 (Aldesleukin),Aldesleukin,"125-L-serine-2-133-interleukin 2 (human reduced),Interleukin-2 aldesleukin,Interleukin-2(2-133),125-ser,Recombinant interleukin-2 human"
13,DB06626,Inlyta (Axitinib),Axitinib,
14,DB00041,Interleukin-2 (Aldesleukin),Aldesleukin,"125-L-serine-2-133-interleukin 2 (human reduced),Interleukin-2 aldesleukin,Interleukin-2(2-133),125-ser,Recombinant interleukin-2 human"
15,DB06186,Ipilimumab,Ipilimumab,Ipilimumab
16,DB09037,Keytruda (Pembrolizumab),Pembrolizumab,Lambrolizumab
17,DB09078,Lenvatinib Mesylate,Lenvatinib,"4-{3-chloro-4-[(cyclopropylcarbamoyl)amino]phenoxy}-7-methoxyquinoline-6-carboxamide,Lenvatinib"
18,DB09078,Lenvima (Lenvatinib Mesylate),Lenvatinib,"4-{3-chloro-4-[(cyclopropylcarbamoyl)amino]phenoxy}-7-methoxyquinoline-6-carboxamide,Lenvatinib"
19,DB00112,Mvasi (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
20,DB00398,Nexavar (Sorafenib Tosylate),Sorafenib,"4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide,N-(4-Chloro-3-(trifluoromethyl)phenyl)-N'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea"
21,DB09035,Nivolumab,Nivolumab,Nivolumab
22,DB09035,Opdivo (Nivolumab),Nivolumab,Nivolumab
23,DB06589,Pazopanib Hydrochloride,Pazopanib,
24,DB09037,Pembrolizumab,Pembrolizumab,Lambrolizumab
