,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB01042,Alkeran (Melphalan),Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
1,DB00112,Avastin (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
2,DB00112,Bevacizumab,Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
3,DB00958,Carboplatin,Carboplatin,"Carboplatin,CBDCA,cis-(1,1-cyclobutanedicarboxylato)diammineplatinum(II),cis-diammine(1,1-cyclobutanedicarboxylato)platinum,cis-diammine(1,1-cyclobutanedicarboxylato)platinum(II)"
4,DB00515,Cisplatin,Cisplatin,"CDDP,Cis-DDP,cis-diamminedichloroplatinum(II),Cisplatin"
5,DB00531,Cyclophosphamide,Cyclophosphamide,"(+-)-Cyclophosphamide,(RS)-Cyclophosphamide,2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide,Anhydrous cyclophosphamide,Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester,Ciclofosfamide,Cyclophosphamide anhydrous,Cytophosphane,N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"
6,DB00997,Doxorubicin Hydrochloride,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
7,DB00997,Doxil (Doxorubicin Hydrochloride Liposome),Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
8,DB00997,Doxorubicin Hydrochloride Liposome,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
9,DB00441,Gemcitabine Hydrochloride,Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
10,DB00441,Gemzar (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
11,DB01030,Hycamtin (Topotecan Hydrochloride),Topotecan,"9-[(dimethylamino)methyl]-10-hydroxy-(4S)-camptothecin,Topotecan"
12,DB00441,Infugem (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
13,DB09074,Lynparza (Olaparib),Olaparib,"4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2H)-one,Olaparib"
14,DB01042,Melphalan,Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
15,DB11793,Niraparib Tosylate Monohydrate,Niraparib,Niraparib
16,DB09074,Olaparib,Olaparib,"4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2H)-one,Olaparib"
17,DB01229,Paclitaxel,Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
18,DB12332,Rubraca (Rucaparib Camsylate),Rucaparib,Rucaparib
19,DB12332,Rucaparib Camsylate,Rucaparib,Rucaparib
20,DB04572,Tepadina (Thiotepa),Thiotepa,Thiotepa
21,DB13373,Totecan Hydrochloride,Acriflavinium chloride,Acriflavine hydrochloride
22,DB11793,Zejula (Niraparib Tosylate Monohydrate),Niraparib,Niraparib
