,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB11595,Atezolizumab,Atezolizumab,Atezolizumab
1,DB00112,Avastin (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
2,DB00112,Bevacizumab,Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
3,DB08875,Cabometyx (Cabozantinib-S-Malate),Cabozantinib,Cabozantinib
4,DB08875,Cabozantinib-S-Malate,Cabozantinib,Cabozantinib
5,DB05578,Cyramza (Ramucirumab),Ramucirumab,
6,DB09037,Keytruda (Pembrolizumab),Pembrolizumab,Lambrolizumab
7,DB09078,Lenvatinib Mesylate,Lenvatinib,"4-{3-chloro-4-[(cyclopropylcarbamoyl)amino]phenoxy}-7-methoxyquinoline-6-carboxamide,Lenvatinib"
8,DB09078,Lenvima (Lenvatinib Mesylate),Lenvatinib,"4-{3-chloro-4-[(cyclopropylcarbamoyl)amino]phenoxy}-7-methoxyquinoline-6-carboxamide,Lenvatinib"
9,DB00398,Nexavar (Sorafenib Tosylate),Sorafenib,"4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide,N-(4-Chloro-3-(trifluoromethyl)phenyl)-N'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea"
10,DB09035,Nivolumab,Nivolumab,Nivolumab
11,DB09035,Opdivo (Nivolumab),Nivolumab,Nivolumab
12,DB15102,Pemazyre (Pemigatinib),Pemigatinib,INCB054828
13,DB09037,Pembrolizumab,Pembrolizumab,Lambrolizumab
14,DB15102,Pemigatinib,Pemigatinib,INCB054828
15,DB05578,Ramucirumab,Ramucirumab,
16,DB08896,Regorafenib,Regorafenib,
17,DB00398,Sorafenib Tosylate,Sorafenib,"4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide,N-(4-Chloro-3-(trifluoromethyl)phenyl)-N'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea"
18,DB08896,Stivarga (Regorafenib),Regorafenib,
19,DB11595,Tecentriq (Atezolizumab),Atezolizumab,Atezolizumab
