,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB00112,Avastin (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
1,DB00112,Bevacizumab,Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
2,DB00762,Camptosar (Irinotecan Hydrochloride),Irinotecan,"(+)-Irinotecan,Irinotecan,Irinotecan lactone"
3,DB01101,Capecitabine,Capecitabine,"(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester,Capecitabine,Pentyl [1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-2-oxo-1,2-dihydropyrimidin-4-yl]carbamate,pentyl 1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinecarbamate"
4,DB00002,Cetuximab,Cetuximab,
5,DB05578,Cyramza (Ramucirumab),Ramucirumab,
6,DB00526,Eloxatin (Oxaliplatin),Oxaliplatin,"Diaminocyclohexane Oxalatoplatinum,L-OHP,Oxalatoplatin,Oxalatoplatinum,Oxaliplatin"
7,DB00002,Erbitux (Cetuximab),Cetuximab,
8,DB00544,5-FU (Fluorouracil Injection),Fluorouracil,"5-Fluoropyrimidine-2,4-dione,5-Fluorouracil,5-Fluracil,5-FU,Fluoro Uracil,Fluouracil"
9,DB00544,Fluorouracil Injection,Fluorouracil,"5-Fluoropyrimidine-2,4-dione,5-Fluorouracil,5-Fluracil,5-FU,Fluoro Uracil,Fluouracil"
10,DB06186,Ipilimumab,Ipilimumab,Ipilimumab
11,DB00762,Irinotecan Hydrochloride,Irinotecan,"(+)-Irinotecan,Irinotecan,Irinotecan lactone"
12,DB09037,Keytruda (Pembrolizumab),Pembrolizumab,Lambrolizumab
13,DB00650,Leucovorin Calcium,Leucovorin,"(5-formyl-5,6,7,8-tetrahydropteroyl)glutamate,10-Formyl-7,8-dihydrofolic acid,5-Formyl-5,6,7,8-tetrahydrofolic acid,5-Formyl-5,6,7,8-tetrahydropteroyl-L-glutamic acid,5-Formyltetrahydrofolate,5-formyltetrahydrofolic acid,Folinate,Folinic acid,L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid,N-(5-formyl-5,6,7,8-tetrahydropteroyl)-L-glutamic acid,N5-Formyl-5,6,7,8-tetrahydrofolic acid,N5-Formyltetrahydrofolic acid"
14,DB00432,Lonsurf (Trifluridine and Tipiracil Hydrochloride),Trifluridine,"5-(Trifluoromethyl)deoxyuridine,5-Trifluoromethyl-2-deoxyuridine,F₃T,TFT,Trifluoromethyldeoxyuridine,Trifluorothymidine,Trifluorothymine deoxyriboside"
15,DB00112,Mvasi (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
16,DB09035,Nivolumab,Nivolumab,Nivolumab
17,DB09035,Opdivo (Nivolumab),Nivolumab,Nivolumab
18,DB00526,Oxaliplatin,Oxaliplatin,"Diaminocyclohexane Oxalatoplatinum,L-OHP,Oxalatoplatin,Oxalatoplatinum,Oxaliplatin"
19,DB01269,Panitumumab,Panitumumab,ABX-EGF
20,DB09037,Pembrolizumab,Pembrolizumab,Lambrolizumab
21,DB05578,Ramucirumab,Ramucirumab,
22,DB08896,Regorafenib,Regorafenib,
23,DB08896,Stivarga (Regorafenib),Regorafenib,
24,DB00432,Trifluridine and Tipiracil Hydrochloride,Trifluridine,"5-(Trifluoromethyl)deoxyuridine,5-Trifluoromethyl-2-deoxyuridine,F₃T,TFT,Trifluoromethyldeoxyuridine,Trifluorothymidine,Trifluorothymine deoxyriboside"
25,DB01269,Vectibix (Panitumumab),Panitumumab,ABX-EGF
26,DB01101,Xeloda (Capecitabine),Capecitabine,"(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester,Capecitabine,Pentyl [1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-2-oxo-1,2-dihydropyrimidin-4-yl]carbamate,pentyl 1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinecarbamate"
27,DB06186,Yervoy (Ipilimumab),Ipilimumab,Ipilimumab
28,DB08885,Zaltrap (Ziv-Aflibercept),Aflibercept,"Aflibercept,Aflibercept (genetical recombination),Ziv-aflibercept"
29,DB00112,Zirabev (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
30,DB08885,Ziv-Aflibercept,Aflibercept,"Aflibercept,Aflibercept (genetical recombination),Ziv-aflibercept"
