gene,z score
PAGE2,10685.997
IFNK,8467.824
FAM9B,7450.366999999999
PAGE4,4411.164000000001
VSTM2B,2445.176
PAGE2B,1986.845
LRRC10,1690.3829999999998
FXYD4,1353.031
SLC5A8,1144.77
FAM9C,1046.725
TAS2R1,779.59
CYP2B6,704.814
SSX1,703.804
PNMA5,496.70300000000003
POU3F3,492.21
UTS2,431.806
SSX5,423.67800000000005
H2AFB1,367.51099999999997
MAGEA8,365.995
OR4D6,349.895
FXYD4,347.33
SSX4,327.381
FOXA2,305.351
SSX4,293.374
CRISP1,277.426
SEMG2,266.41200000000003
PNMA5,231.372
FABP7,220.541
IGFBPL1,189.395
MYL7,170.83
ZNF479,169.278
CYP2A13,154.61
CLDN2,147.339
CPN1,146.993
LCE1F,140.127
TAAR1,127.913
WFDC6,122.693
NPHS2,119.89
OR52N2,116.001
GJB1,115.212
SLC17A8,107.921
CPB1,106.699
REG1B,105.552
PPIAL4D,104.26
TAS2R1,103.68799999999999
GRM3,103.264
PAGE1,97.34700000000001
EPPIN,94.205
C17orf64,80.123
MAP3K15,77.958
SLC28A2,76.577
F9,70.62
FXYD4,68.383
SYCE1,64.837
FLG,64.265
HIST2H3C,63.105
FBN3,62.152
FTHL17,60.86
IRS4,60.693000000000005
AL035425.2,60.693000000000005
LUZP4,58.751000000000005
SSX4,58.405
SERPINA7,58.321999999999996
CFAP100,58.138999999999996
DEFA5,57.147
BAAT,56.111000000000004
LHX4,55.464
MMP21,53.632
GOLGA6L6,53.222
FAM9A,52.513000000000005
LUZP4,52.465
IGFBPL1,51.946000000000005
E2F3,51.798
F9,51.036
ZNF679,48.54600000000001
PASD1,46.568000000000005
SERPINA7,46.446999999999996
CCL22,46.153
NKAIN1,45.974
CYP4F2,45.81399999999999
DKKL1,45.17100000000001
SELENOV,42.608999999999995
CCT2,42.047
XYLB,41.653
OR56A3,41.401
PKIB,41.148
FLG2,40.541
MSMB,40.446
SLC38A4,39.404
OR4A16,38.905
HRH3,38.879
AGXT,38.559
OR2B2,38.481
RLN1,38.327
APOA2,37.905
PLS1,37.065
SCN4A,36.669000000000004
MYCN,34.685
SELL,34.452
OR52N1,34.431
KPRP,34.402
SIGLECL1,34.352
CITED1,33.969
HIST1H4E,33.374
GPAM,33.173
SSX5,33.034
ANGPT4,32.9
DNAH9,32.832
SBK2,32.825
B4GALT6,32.571
HIST2H2BE,32.516
SLC6A18,32.492
OR4D10,32.373000000000005
ALDH1A1,32.01
CABP1,32.005
RASGEF1A,31.851999999999997
LCE1E,31.831999999999997
MSMB,31.666
TRIM63,31.625
PTPRT,31.522
KCNIP1,31.25
OR52E2,31.055999999999997
PLPPR5,30.994
ARSF,30.791999999999998
POU3F3,30.374000000000002
PGM5,29.366
FTHL17,29.13
PDIA2,28.986
LGALS4,28.656
EARS2,28.544
GNAQ,28.266
ELF5,28.204
FRS2,27.788
ACVR2B,27.769000000000002
ARHGDIG,27.084
CCNB3,26.843000000000004
YBX2,26.482
FAM228A,26.436
TRIT1,26.255
GOLGA8F,26.206
COL20A1,26.083000000000002
GRM3,25.997
SPEM2,25.993000000000002
RAD21L1,25.809
SULT1C3,25.766
GAL3ST3,25.741999999999997
DPPA5,25.62
MOG,25.364
PALB2,25.051
HSDL2,25.049
EPM2AIP1,25.019000000000002
HYPM,24.993000000000002
CYP1A2,24.849
TMSB15A,24.561
ZNF541,24.535
SNAP91,24.482
LHX1,24.480999999999998
RXRG,24.32
PDCL2,23.980999999999998
HIST1H3G,23.869
HIST1H2BF,23.471
NTF3,23.419
SVBP,23.174
GC,23.022
SLC30A8,23.009
CFAP45,22.835
FAM47C,22.608
PCDH11X,22.587
PRPS1L1,22.331
CA3,22.269000000000002
RBP3,22.185
CPN1,22.089000000000002
COG4,22.075
C1orf61,22.031
CYP2B6,21.8
RIMS4,21.74
ANKRD30B,21.636999999999997
FOXJ3,21.44
RANBP9,21.302
TMEM169,21.274
TRIM6,21.254
C1orf61,21.12
EFCAB5,21.08
SIGLEC14,20.945999999999998
JARID2,20.863000000000003
VCX3B,20.826999999999998
MBOAT1,20.761999999999997
GPRIN2,20.730999999999998
SPINK8,20.496
RAB3IP,20.410999999999998
ZNF488,20.307000000000002
FAM71F1,20.256
HIST2H3C,20.217
GAGE1,20.084
LRRC37A3,20.079
LRRC7,20.009
CXCL3,19.982
VSTM2B,19.913
DBX1,19.902
HIST1H2AM,19.896
CCNB3,19.867
HIST1H2BO,19.855
CDH12,19.802
OR8B12,19.742
CNIH3,19.726
NOL7,19.582
SLC45A2,19.488
CNOT2,19.472
CYP4F2,19.455
NEUROD2,19.45
SLC22A14,19.45
TNF,19.438
ANP32E,19.422
RPIA,19.397000000000002
CCDC73,19.397000000000002
RET,19.276
WDR48,19.27
MYCN,19.227
OR2B6,19.107
ZNF341,19.026
HIST2H4A,18.989
ZNRF4,18.922
NLGN1,18.8
SOHLH1,18.767
HIST1H2AK,18.762
DDX19A,18.727
OR2H2,18.623
SF3B3,18.611
LYPD4,18.549
MS4A13,18.548
KHDRBS3,18.49
ALAS1,18.367
PAN2,18.21
FOXA2,18.104
CCDC144NL,18.09
OOEP,17.922
ATP4B,17.915
ABCG8,17.906
CRH,17.895
KCNB2,17.865
CYP2B6,17.859
C1QL2,17.775
ZNF541,17.747
SCGB2A1,17.644000000000002
CT55,17.642
TIMP4,17.631
COL6A6,17.558
ITGAD,17.521
SIAH3,17.407
ZNF766,17.406
HIST2H2BF,17.346
PNCK,17.325
ZCCHC12,17.28
TOX3,17.169
LUZP2,17.078
CCDC40,17.055
KCNMB4,16.993
PLCXD1,16.936
RFPL4B,16.93
ZSCAN16,16.92
HIST1H2BH,16.886
NUP107,16.820999999999998
OR8S1,16.761
RFX3,16.680999999999997
VAC14,16.68
OR52E4,16.51
S100A5,16.458
MUCL3,16.44
ZNF706,16.397000000000002
HIST2H2BF,16.386
LZTR1,16.35
IMMP1L,16.309
GGA2,16.283
FUK,16.259
GRB7,16.243
PTPRT,16.239
PPIE,16.213
C1orf61,16.165
PRLR,16.15
ANKRD1,16.097
CAND2,16.084
ARSF,16.078
ZNF480,16.022000000000002
TAAR1,15.985
GUCA2A,15.963
TRIM46,15.886
YEATS4,15.869000000000002
RLN2,15.853
GAS2L3,15.782
PAK3,15.741
RHPN2,15.707
MDC1,15.706
ADAMTSL4,15.669
SBK1,15.597000000000001
IGLON5,15.59
ZNF74,15.562000000000001
ECHS1,15.436
HRCT1,15.39
ZNF749,15.386
ATXN3L,15.37
GPC2,15.332
B4GALNT2,15.284
OR4D5,15.277999999999999
HECTD3,15.241
HSD11B2,15.155999999999999
MNS1,15.125
PPIH,15.072000000000001
KCNT1,15.001
SMCP,14.981
SNPH,14.925999999999998
ANKRD13B,14.907
NKAIN1,14.895999999999999
GORASP1,14.890999999999998
ZFP57,14.856
TAF7L,14.834000000000001
OCA2,14.832
KLK15,14.815999999999999
DCAF8L1,14.806
RPL10L,14.792
ZNF676,14.735
AWAT2,14.732000000000001
UTP20,14.718
ACCSL,14.644
OR56A1,14.637
GPAT2,14.627
MAGEB10,14.612
CTTNBP2,14.604000000000001
TMEM91,14.588
UNC13B,14.537
GABRG3,14.527999999999999
IL17C,14.491
OR51B6,14.479000000000001
SELENBP1,14.478
PPP4R3C,14.42
MAGEB4,14.404000000000002
SLC6A16,14.404000000000002
RNF157,14.398
HIST1H3H,14.386
C1orf112,14.377
ST8SIA2,14.368
KIN,14.334000000000001
HRCT1,14.327
SERPINA7,14.318
C3orf22,14.308
RAF1,14.255999999999998
PLCXD3,14.243
ZNF691,14.232999999999999
MYD88,14.231
TMEFF1,14.227
LGSN,14.220999999999998
NR0B1,14.219000000000001
PRAC1,14.218
HLA-G,14.209000000000001
KHDC3L,14.209000000000001
CTAG1B,14.202
SEMA6C,14.155
ID4,14.142000000000001
OR8B12,14.129000000000001
VCX2,14.092
NFYA,14.067
TDRKH,14.061
SLC35E3,14.045
TUBA3E,14.040999999999999
SCNN1G,13.970999999999998
GCNT7,13.968
CHMP4B,13.936
MED15,13.887
HIST1H2BN,13.884
F5,13.824000000000002
ZIC1,13.823
GOLGA6L1,13.751
HIST2H3D,13.747
SMR3B,13.712
LTK,13.709000000000001
NPY4R,13.709000000000001
APBB1IP,13.674000000000001
TP53TG3B,13.664000000000001
TEKT1,13.597999999999999
FAR2,13.573
RBP3,13.526
POLR2K,13.515
DTWD1,13.505
BCL9,13.488
HIST2H4A,13.487
ZNF706,13.466
APBB1IP,13.401
OR52N1,13.33
ZNF595,13.283
CNKSR2,13.262
MYLK2,13.251
DYDC1,13.216
NFKBIA,13.202
DHX38,13.157
OR4F29,13.127
FST,13.118
CBLN4,13.084000000000001
SELE,13.077
PRPF18,13.033
FAM228A,13.025
ANXA9,12.977
TFG,12.966
PCDHB15,12.957
CRNN,12.937999999999999
DDX19B,12.937999999999999
CA4,12.902999999999999
YBX2,12.901
CCDC138,12.879000000000001
GTF3C5,12.864
FOSL2,12.857000000000001
FOXD2,12.857000000000001
PHACTR3,12.822000000000001
GLDN,12.818
ENSA,12.799000000000001
HIST1H3J,12.788
GRB10,12.762
ZNF239,12.755999999999998
PZP,12.753
CCDC169,12.742
HIST2H2BE,12.729000000000001
FAM104B,12.7
GGCT,12.7
CDYL,12.692
TEX19,12.671
HIST1H3F,12.663
WWP2,12.659
SCGB2A2,12.652999999999999
HIST1H2BD,12.61
SNURF,12.595
ZNF488,12.579
COX6C,12.484000000000002
LCE1D,12.478
KLHL34,12.47
CCDC90B,12.465
PGC,12.463
CDH20,12.454
HNRNPF,12.448
DEPP1,12.439
MISP,12.43
POTEG,12.423
HIST1H2BG,12.42
RNF157,12.414000000000001
KLF6,12.407
POLR3C,12.392000000000001
TUBA3C,12.328
HIST1H1C,12.325
TRPM8,12.315
PIGA,12.3
MKRN2,12.286
HRH3,12.280999999999999
NPY5R,12.275
PRSS3,12.255
ELOVL1,12.241
ZNF239,12.224
IGSF9,12.200999999999999
KLK4,12.19
SGO1,12.19
WNK3,12.169
MYCL,12.15
SULT1E1,12.130999999999998
MAGIX,12.120999999999999
ZNF765,12.113
C1orf50,12.11
C17orf78,12.099
SSX2,12.035
ANO3,12.007
HRH3,12.005999999999998
RIPPLY1,11.995999999999999
HTR6,11.984000000000002
DCTN5,11.984000000000002
MYCBP,11.915999999999999
MED20,11.914000000000001
PI4KB,11.890999999999998
DYNLT3,11.876
GPRC6A,11.863
GLP1R,11.845999999999998
TUBA3D,11.825
PMEPA1,11.812999999999999
GYG2,11.81
PLCXD1,11.808
LRRC37A3,11.799000000000001
PRMT7,11.795
GPR182,11.775
SMR3B,11.774000000000001
ARSH,11.773
RALBP1,11.764000000000001
JADE3,11.720999999999998
RNF183,11.704
SF3B4,11.697000000000001
FAM104B,11.690999999999999
STAMBPL1,11.664000000000001
DEPP1,11.647
STBD1,11.640999999999998
EDC4,11.627
ZNF117,11.607000000000001
IL1A,11.6
MCM3,11.597999999999999
TRIM39,11.595
FBN2,11.524000000000001
BARHL2,11.505999999999998
TMEM68,11.503
ABCF1,11.495999999999999
KLHDC4,11.482999999999999
PLLP,11.474
SOX4,11.472999999999999
SEPT12,11.455
PROCR,11.455
EFR3B,11.398
TMEM82,11.365
PI4KB,11.355
ANKRD23,11.344000000000001
ARHGEF33,11.337
ZNF93,11.309000000000001
POGZ,11.282
IRGM,11.257
BYSL,11.255
EFCAB8,11.225
PROCR,11.222999999999999
LCE1B,11.208
ECEL1,11.204
MYLK2,11.155999999999999
PEX19,11.152999999999999
MS4A5,11.152000000000001
FTHL17,11.13
ABCC12,11.085999999999999
PPIL6,11.085
KLHL32,11.084000000000001
NCAN,11.083
SNAP29,11.071
PPP1R11,11.067
MLH1,11.046
MRPS10,11.03
TDRKH,11.027000000000001
BTN1A1,11.011
SEC14L4,10.99
TINAGL1,10.987
NFYC,10.982000000000001
TXNL4B,10.974
KIAA1586,10.966
ZNF398,10.96
NKX2-1,10.946
GBX1,10.944
LRRC36,10.935
SSX3,10.925
MAP1LC3A,10.842
WDCP,10.818
RAP1B,10.812000000000001
RAF1,10.808
PNPLA5,10.798
OXCT2,10.761
GLIS3,10.749
CFAP65,10.735999999999999
HDAC11,10.727
EHMT2,10.693
NXNL1,10.686
ZNF485,10.644
BCL2L14,10.595999999999998
NAA11,10.581
DHX16,10.581
NR1H4,10.572000000000001
ADAM29,10.565
APOD,10.539000000000001
SYP,10.525
ALDH1A2,10.524000000000001
DCLK3,10.523
TNFAIP3,10.520999999999999
GARS,10.514000000000001
MCUR1,10.512
SSTR4,10.484000000000002
TSEN2,10.482999999999999
MAGED4,10.46
RALBP1,10.459000000000001
MYLK4,10.455
ARNT,10.454
WNK3,10.436
HIST1H3B,10.424000000000001
GTF2H4,10.415999999999999
C4orf19,10.415
TTLL2,10.402999999999999
RLBP1,10.402999999999999
SNRPN,10.402999999999999
MKRN2,10.388
ZNF138,10.343
IL9R,10.335
KL,10.333
EFNA2,10.327
PABPC1L2B,10.324000000000002
TPRKB,10.314
ZNF341,10.314
MRPS21,10.295
ZNF845,10.280999999999999
RIMKLA,10.277999999999999
OR10H5,10.262
CHRM5,10.254000000000001
GDI2,10.211
CNKSR2,10.21
CPNE7,10.208
RIMS4,10.206
AKAP4,10.196
WFDC11,10.193999999999999
AK9,10.187000000000001
ILF2,10.181000000000001
NLRP14,10.162
NR1H4,10.142000000000001
EQTN,10.138
RTP3,10.136000000000001
B4GALT3,10.135
OARD1,10.132
PATE3,10.128
ANP32E,10.102
ZNF773,10.097000000000001
TRPC1,10.097000000000001
DSCAML1,10.093
GPRIN2,10.091000000000001
DAB1,10.09
ZNF341,10.084
TERF2,10.08
PABPC4,10.065
WFDC11,10.062999999999999
CTAG1B,10.057
SLC26A7,10.04
RAB2A,10.02
SERTAD2,10.017000000000001
SATB1,10.01
CNTN6,9.99
ZNF74,9.984
RNF157,9.982999999999999
SLC9A4,9.98
TMEM82,9.977
PRR29,9.971
SPP2,9.97
EXOG,9.936
AMN,9.931000000000001
CNTFR,9.925
SLC7A3,9.922
PRR27,9.922
C2orf50,9.921
PSCA,9.912
HIST1H2BL,9.912
CRAT,9.906
FOXO4,9.901
TCTEX1D4,9.879
GAB4,9.857000000000001
INSL6,9.852
MC2R,9.851
CCDC184,9.847000000000001
SPP2,9.845
SOX4,9.834
PRLH,9.823
HIST1H2AD,9.817
MAJIN,9.81
TAF3,9.783999999999999
RBP3,9.783
VHL,9.783
TAS1R2,9.777000000000001
SLPI,9.761000000000001
TMEM253,9.76
MSTO1,9.744
TTLL6,9.742
CLDN11,9.742
GBX1,9.712
MEX3A,9.708
DMRTC2,9.702
ARMC2,9.69
MYT1,9.687999999999999
ZNF583,9.675
CCDC30,9.672
DYDC2,9.669
ANKS4B,9.656
CFAP77,9.646
FBXO47,9.642000000000001
ENSA,9.634
SHC1,9.613
SLC28A3,9.613
PRAMEF11,9.603
CLDN4,9.599
PGM5,9.589
ARL14,9.576
ZNF92,9.57
FTHL17,9.565
ZNF485,9.559
CSF3R,9.554
DCAF4L2,9.551
SOHLH2,9.539
PRLH,9.527000000000001
FAM166B,9.513
GREM2,9.51
RASL10A,9.504
AUNIP,9.498
DGAT2L6,9.484
PDZD3,9.482000000000001
SPRR3,9.427
CKS1B,9.426
RBMXL3,9.424
NECAB3,9.417
CAGE1,9.407
CRNKL1,9.389
CHRNB3,9.387
C3orf62,9.382
NCOA1,9.34
NLGN3,9.33
PDCL3,9.326
POGZ,9.323
PRSS41,9.315
SFTA3,9.312999999999999
APEX2,9.307
HSD17B11,9.301
GLRA3,9.299
RALBP1,9.296
CCDC150,9.279
AOC2,9.25
NPFFR2,9.247
R3HDML,9.246
SIX3,9.236
CA2,9.229
ETNPPL,9.227
DUSP15,9.216000000000001
NDUFAB1,9.201
MYH13,9.201
LYSMD1,9.2
CREB3L3,9.198
PAGE5,9.197000000000001
BRSK2,9.193999999999999
TAF8,9.192
FAM47C,9.18
DNMT3A,9.154
C1orf43,9.152000000000001
RASGEF1A,9.137
TMEM35A,9.136000000000001
SLC29A4,9.117
COX7B2,9.109
TRPM7,9.107000000000001
CCHCR1,9.107000000000001
CCR9,9.107000000000001
POLR3C,9.106
RETN,9.089
IQSEC1,9.082
NXT2,9.073
MPHOSPH10,9.059
TUFT1,9.058
MYH7,9.057
SLC17A3,9.036
CBLL2,9.032
CRIPT,9.027000000000001
CYP2C18,9.016
PSG1,9.014
MAJIN,9.012
DCAF12L1,9.007
IRS2,8.997
PAQR6,8.992
FABP4,8.991
NAA11,8.991
SLCO5A1,8.97
WFDC3,8.969
CCM2L,8.966000000000001
EPOR,8.963
CREB3L4,8.962
UBE4B,8.955
FAM209A,8.943
MAPRE1,8.937999999999999
ATP7A,8.935
GPRIN2,8.934
TRMT61B,8.924
NEUROD4,8.924
RAB3B,8.919
NKX2-8,8.911
C17orf75,8.91
CA4,8.894
APH1A,8.887
LEP,8.884
XK,8.861
APOL4,8.86
CACNA2D2,8.849
VEPH1,8.832
SYT13,8.828
ELMOD1,8.825
GBX1,8.818
C11orf86,8.812999999999999
C6orf52,8.807
RFPL4B,8.797
TTPA,8.777000000000001
APOL4,8.772
OR2B2,8.766
GPATCH1,8.766
FXYD4,8.765
CAPN12,8.755
SLC9A5,8.753
SIRT4,8.746
STK35,8.741
PPP2R3B,8.74
GPATCH1,8.736
TUBB,8.731
NOTCH2NLA,8.719
HPGD,8.704
TBPL1,8.702
SELENOV,8.701
BEX3,8.693999999999999
ILF2,8.686
MRPL9,8.681000000000001
TUFT1,8.662
ANGPTL4,8.652000000000001
LCMT1,8.645
ZBTB16,8.636000000000001
HIKESHI,8.629
LKAAEAR1,8.626
NOTCH2NLA,8.624
NRIP1,8.618
DAB1,8.613
ACOX1,8.612
C1orf43,8.612
PTK2,8.607000000000001
TOMM6,8.606
RLN1,8.605
TRMT61B,8.593
FOXI3,8.59
FAM47C,8.587
SPEF1,8.573
SFI1,8.573
GPHA2,8.561
SLC38A4,8.557
HIST1H2BJ,8.551
SMPDL3A,8.549
RP1,8.548
NUFIP2,8.537
OR56A4,8.531
CNOT10,8.517999999999999
FAM104B,8.517000000000001
SCRIB,8.509
CFAP45,8.503
GJD4,8.496
PSG2,8.492
FZD4,8.488999999999999
CYB561,8.481
CAPG,8.476
CRH,8.464
FOXR1,8.462
TUFT1,8.46
OPRK1,8.445
KIAA0319L,8.443
ACSF2,8.442
GLDC,8.439
DKK1,8.436
SETDB1,8.436
TARS2,8.43
TNFSF11,8.43
KISS1R,8.426
HMGN4,8.426
AMOT,8.422
LRRIQ1,8.42
ZNF30,8.418
FBXO15,8.402000000000001
CHPT1,8.401
ENAM,8.399
HIST2H2AA3,8.397
OGDHL,8.395
OR10H2,8.38
TMEM53,8.373
FLAD1,8.369
PEBP1,8.367
