gene,z score
PAGE1,23923.929
CRCT1,4236.733
LCE3D,2710.8140000000003
LCE3E,2424.55
GAGE2E,1945.985
CXorf67,1720.475
CAPNS2,1583.886
VCX3A,1510.836
RBMXL2,1449.5279999999998
GAGE13,1412.48
XAGE3,1137.782
BGLAP,1125.163
S100A7A,1109.562
VCX3B,919.373
FAM83C,890.345
AMELX,845.5260000000001
NKX2-4,765.4760000000001
LIX1,670.454
NPTX2,661.227
KRT24,653.243
CAPNS2,584.191
LCE3D,557.9540000000001
LIPF,544.753
PRDM14,515.673
PRSS35,494.13300000000004
SLC18A3,446.504
UGT1A10,422.93
GAGE12J,370.62199999999996
FAM83C,365.08099999999996
LCE3E,340.579
NKX2-4,320.452
IQCF2,298.112
SNTG1,291.297
ZNF536,277.525
LCE3E,264.548
FSTL5,256.291
TMEFF2,254.34099999999998
GPX6,232.36599999999999
XAGE5,220.859
GPX2,217.46599999999998
CT47A2,215.27900000000002
PRAC1,205.386
GAGE12D,204.68099999999998
KERA,202.263
MYH8,195.477
COX8C,187.104
PRSS35,186.57
CCDC198,183.34900000000002
SLC47A2,179.312
SLC36A2,177.97099999999998
SERPINB13,170.907
CPN2,157.094
KRTAP11-1,154.746
IFNK,154.744
LCE3D,154.129
VCX,153.95
IGF2BP1,153.89
SPRR2B,146.431
S100A8,145.871
ADGRE3,144.959
S100A7,138.474
COL9A1,135.977
PTH1R,135.775
GAGE2A,134.252
MUC7,133.63
EGFR,132.561
LBP,131.398
COL25A1,126.012
ATCAY,125.415
CDX2,118.705
PPP4R3C,116.329
GAGE10,112.685
LCE2A,110.226
VCX2,109.595
HOXD11,106.139
ALDH3A1,105.42299999999999
PAQR9,104.885
ORMDL3,104.29799999999999
PHOSPHO1,104.223
GAST,102.225
S100A9,101.815
CGB8,101.65299999999999
KPRP,100.71600000000001
TKTL1,99.67299999999999
SCX,99.664
KRTAP19-1,95.458
MAEL,94.645
SPATA16,94.04899999999999
TNMD,93.236
SPANXC,90.93299999999999
MET,89.302
WIF1,88.086
ZNF705D,87.882
GSDMB,87.506
CCK,85.053
NXF2,84.169
GCG,82.725
ID1,80.931
KRT9,80.226
IGLON5,79.49
C10orf99,78.194
SCGB3A2,77.983
SPRR2A,77.55199999999999
HAPLN4,77.306
RBM46,77.189
COL11A2,76.429
USP22,75.795
C1orf68,74.584
SP7,69.396
GOLGA6L6,68.977
FTHL17,68.02600000000001
LGR5,67.12899999999999
TBX4,67.124
CRCT1,67.084
FNDC7,66.503
DIPK1C,66.40899999999999
H2AFB1,66.006
SHISA3,65.891
ATCAY,65.725
PCOLCE,64.63600000000001
CDX2,64.572
IGF2BP1,63.417
COLEC11,62.051
DEC1,61.775
EGFR,60.473
S100A7A,59.641999999999996
WFDC1,59.576
SOST,59.102
GRB7,59.067
UGT1A5,58.282
FGF8,58.178999999999995
SERPINB4,57.968999999999994
FBN2,57.87
PAX1,57.152
CAPZA2,56.089
C17orf51,55.586000000000006
NUP210L,54.949
FABP5,54.846000000000004
FOXA2,54.833999999999996
LHX9,54.051
SOHLH1,54.049
CHP2,53.858000000000004
EVX2,53.802
PSMD3,53.801
LRRC4B,53.361999999999995
MORC1,52.92
THBS4,52.611000000000004
SPRR2B,52.18899999999999
PLA2G4E,51.983999999999995
BARX1,51.968
NRXN2,51.917
BCL2L10,51.855
KRT74,51.648999999999994
CYP7A1,51.235
PSPH,51.193999999999996
ERBB2,50.998999999999995
CCT6A,50.693000000000005
LGALS7,50.425
LYPD1,49.73
MAGEA11,49.635
RHBDL3,49.435
OLIG2,49.071999999999996
ADGRA1,48.893
CES1,48.723
ACAN,48.622
ZNF536,48.4
CCDC144NL,48.202
H2BFWT,48.123999999999995
RHOT1,48.108999999999995
MRC2,48.038999999999994
CARD18,47.745
SLC17A3,47.402
CDH16,47.378
PGAP3,47.153999999999996
TG,46.908
SOX14,46.768
ADAMTS3,46.678999999999995
CDH12,46.65
SPRR2F,46.327
CDX2,46.184
KCNG4,45.909
GOLGA6L6,45.763999999999996
SPZ1,45.695
P3H1,45.597
CLCA4,45.448
DCAF4L2,45.369
GOLGA6L1,44.571000000000005
KPRP,44.17100000000001
CARD17,43.797
CSPG4,43.549
STRA8,42.062
LRRTM4,42.04600000000001
COL21A1,41.2
GPR151,41.111000000000004
AKR1C3,40.519
GRIN2D,40.488
OR5B3,40.217
PDCL2,40.187
SEC61G,40.093
KRTDAP,39.985
IGSF10,39.965
CDH16,39.766
QRFPR,39.545
DNAH17,39.306999999999995
VWCE,39.157
PAK4,39.123000000000005
OR13A1,38.941
ANGPT1,38.905
AKR1B10,38.5
SEMG1,38.491
HAO1,38.114000000000004
FAT3,37.988
MEOX2,37.808
LCN2,37.658
CLC,37.62
SLCO6A1,37.343
SPRR2E,37.336
GAS2,37.266999999999996
LIPC,37.263000000000005
ANXA8,36.952
LCE1B,36.95
OPALIN,36.919000000000004
SLCO6A1,36.788000000000004
BARHL2,36.738
TSKS,36.405
C4orf17,36.363
NAA11,36.191
C10orf99,36.080999999999996
NLGN3,35.993
CRYBB2,35.922
IGFL4,35.833
OR52E2,35.794000000000004
PSMD11,35.514
SDR9C7,35.465
PITX2,35.351
COL24A1,35.32
FLG,35.187
UPK2,35.185
SLC39A12,35.114000000000004
ADAMTS7,35.039
OSTN,35.036
NPBWR1,34.906
OR2S2,34.571
ELAVL4,34.54
OTOP2,34.21
SUMF2,34.074
P4HA2,33.982
HMX1,33.959
C1QL3,33.649
TMEM11,33.116
MRPS17,33.065
FBXW10,32.882
PADI1,32.799
RBM8A,32.743
PRKAG3,32.657
SEMA3A,32.513000000000005
PPDPFL,32.5
UGT1A6,32.346
CNGB3,32.304
TMEM72,32.292
KRTAP19-5,32.25
PLA2G4E,32.056
KCNA4,32.027
HGF,31.976
CAPNS2,31.820999999999998
CRCT1,31.565
AKR1C1,31.418000000000003
GJB6,31.393
HTR2A,31.34
LHB,31.28
C1QTNF1,30.927
MUC21,30.919
CPXM1,30.892
ASTN1,30.877
SLC2A9,30.816
SMCP,30.643
UGT1A9,30.343000000000004
KCNJ9,30.302
AOC2,30.235
KCNV1,30.219
CYTL1,30.178
GAGE12G,30.021
PGLYRP3,30.0
TSPAN11,29.971999999999998
SHOX,29.938000000000002
ID1,29.863000000000003
KCNA4,29.684
TRIM16L,29.682
GPR50,29.673000000000002
DNAJC5G,29.622
COL13A1,29.614
SPRR2A,29.506
CACNA1A,29.362
OR7A5,29.276
CCDC144NL,29.253
BRDT,29.234
FBXO27,29.178
MED24,28.878
ARMC4,28.796999999999997
MMP16,28.779
EID2,28.531
ST7,28.409000000000002
ID1,28.31
CCT6A,28.218000000000004
FEZF1,28.149
OLFML2B,27.984
LCE6A,27.934
MAP2K3,27.928
C17orf75,27.796
HOXD13,27.781
SLC17A7,27.738000000000003
GABRE,27.631999999999998
HOXA11,27.502
GABRR1,27.430999999999997
FOXL2,27.429000000000002
ALOX12,27.427
ADGRG3,27.413
C11orf53,27.375
KCNJ15,27.34
VOPP1,27.205
CCDC155,27.142
PDX1,27.011
CSAG2,26.956
PSPH,26.895
CALN1,26.691999999999997
TEX101,26.64
RSPO2,26.598000000000003
VASN,26.587
FAM20C,26.558000000000003
SERPINB3,26.535999999999998
HTR2C,26.49
LANCL2,26.386999999999997
VOPP1,26.342
PGLYRP4,26.299
LGI1,26.28
TCHH,26.236
DCHS2,26.148000000000003
ZNF286A,25.804000000000002
GAL3ST3,25.774
PAF1,25.750999999999998
KLRC2,25.706999999999997
ISL1,25.679000000000002
ITGA10,25.653000000000002
RASL11B,25.54
SUPT5H,25.509
RDH8,25.499000000000002
CTNND1,25.333000000000002
ADGRB3,25.319000000000003
JPH4,25.314
EDAR,25.291
ATP2B3,25.241
FGFR1,25.162
S100A8,25.096999999999998
ZNF207,24.991
HDGFL1,24.854
TGFB2,24.826999999999998
SV2B,24.785
ONECUT3,24.745
CXCL6,24.675
KPRP,24.608
OR9A4,24.396
SPERT,24.366
CFH,24.359
NKX2-8,24.273000000000003
LYZL1,24.139
CHAT,24.129
TPST1,24.017
NIPSNAP2,23.953000000000003
SEC11A,23.859
NPTX2,23.836
MSC,23.764
NPBWR2,23.749000000000002
KRTAP19-1,23.680999999999997
HAPLN1,23.599
KRT13,23.537
KRTAP8-1,23.496
GSDMC,23.475
TEKT3,23.461
EFNA2,23.456999999999997
GOLGA6L1,23.449
HES2,23.366
IL22,23.281999999999996
LHX9,23.256999999999998
FAM83A,23.232
UPK3B,23.151
LRFN5,23.133000000000003
GJB4,23.127
CCN4,23.096
MPRIP,23.035
OR4N4,23.023000000000003
FGF4,23.008000000000003
