gene,z score
GAGE12J,4383.07
MSMB,1848.0870000000002
MT4,739.431
VSTM2L,594.106
MSMB,329.52
FOXE1,281.827
SSX5,233.15400000000002
MAGEA3,141.918
PPP1R16B,140.269
MAGEA6,132.726
MAGEC1,131.093
ZFR2,125.01100000000001
TRIM72,108.70700000000001
S100A12,90.645
MAGEA3,86.669
TINCR,79.795
PRDM9,77.81
DDX53,75.645
EEF1A2,70.89399999999999
BTN1A1,68.46
PPP1R16B,65.461
GAGE12G,65.039
CSAG1,63.138999999999996
MT3,60.7
CDH4,60.44
IGFL1,59.452
MAGEA12,58.658
INSL4,56.751000000000005
LINGO4,54.91
ITGAD,53.028
TMPRSS15,52.388000000000005
CXCR1,47.318000000000005
PAK5,44.575
FXYD4,44.18
VSTM2L,43.341
ALOX15B,42.406000000000006
FOLH1,39.524
SOST,39.105
C4A,38.438
VSTM2L,38.344
SPATA21,36.344
PPP1R16B,36.275
GABBR2,36.103
CXCR2,35.095
ZNF98,33.896
GBP5,33.251999999999995
S100A8,33.053000000000004
ZHX3,32.113
S100A7,31.344
C1orf61,31.055999999999997
INSL4,30.198
PGLYRP1,29.475
GJC2,29.075
SLC22A16,28.508000000000003
COL15A1,27.884
CDH4,27.691
APLP1,26.719
JCAD,26.551
TGM2,26.072
TGM2,25.429000000000002
PLPPR3,25.201
CEACAM4,25.026999999999997
CCL27,24.715
PAK5,24.615
CEACAM3,24.371
CREM,24.302
ENTPD6,23.918000000000003
PNMA6A,23.425
SELE,23.129
CALB2,22.826999999999998
CCDC155,22.656
AKAP4,22.149
SLC5A11,21.545
TNC,21.451999999999998
MUC16,21.205
CR1,21.186999999999998
LYVE1,20.439
SLC35F3,20.396
STK31,20.117
TMEM252,20.102
NRP1,19.930999999999997
PPP1R16B,19.641
SPRED3,19.563
HS3ST3B1,19.38
ZNF596,19.025
KCNJ15,18.69
FPR2,18.607
NCR1,18.545
THSD7A,18.332
IFT52,18.238
MRC1,18.143
MGAM,18.118
VSTM1,18.077
LILRA4,17.923
CYP21A2,17.859
SCG5,17.855999999999998
APLNR,17.847
S100A9,17.737000000000002
RASGRP4,17.649
ASTN2,17.607
SPRR2F,17.535
SBSN,17.36
NLRP12,17.359
KCNK15,17.327
GKN2,17.27
VSTM2L,17.256
ADGRG3,17.189
FPR1,17.089000000000002
CSGALNACT2,16.991
CD70,16.912
GABRA3,16.749000000000002
FAM182B,16.72
CACNB2,16.709
MED31,16.648
GZMM,16.583
IL9R,16.461
GPR174,16.269000000000002
AVPR2,16.178
PREX2,16.097
DUSP9,15.960999999999999
IL18RAP,15.9
VSTM2L,15.866
STX10,15.864
MRGPRE,15.776
RORB,15.722000000000001
HS3ST4,15.716
WNK3,15.684000000000001
IL7R,15.637
UBASH3A,15.623
ZNF257,15.585999999999999
KLRC4,15.502
ZNF25,15.247
CST7,15.168
LILRA1,15.157
AR,15.065999999999999
KLRK1,15.049000000000001
CHST1,14.985
ADAMTS1,14.95
PPP1R16B,14.937000000000001
KCNE1,14.922
LILRA5,14.886
ZNF257,14.844000000000001
MROH9,14.655999999999999
AWAT2,14.65
SLPI,14.629000000000001
LGR6,14.554
DYSF,14.495
ITGB1,14.43
NAA20,14.427
KCNC3,14.390999999999998
TNFSF14,14.362
MAP4K1,14.279000000000002
FBXO27,14.218
SAMD1,14.148
POU2F2,14.03
CD22,13.985
JAK3,13.6
OR1L1,13.549000000000001
RYR1,13.542
GUCY2D,13.431
ZNF492,13.327
SH2D1A,13.290999999999999
CD79A,13.258
COL6A1,13.21
KCNA3,13.167
ADAMTS4,13.145
CYYR1,13.092
CALCRL,13.082
PPP1R16B,13.07
ZNF415,13.054
MAGEA6,13.034
DEPP1,12.993
FCGR2A,12.972999999999999
FAM124B,12.958
CST7,12.894
HLA-G,12.795
C6orf106,12.686
KIF26B,12.677999999999999
LMX1B,12.657
CTRC,12.642000000000001
RGS18,12.628
OGDHL,12.623
SCN1B,12.595
PAX1,12.594000000000001
IL12RB1,12.536
TLR8,12.475999999999999
NHSL2,12.429
RASAL3,12.413
TAP2,12.35
HLA-F,12.265999999999998
LILRA6,12.184000000000001
SIGLEC5,12.161
ADAMTS5,12.11
GAST,11.984000000000002
GTSF1L,11.956
MMP16,11.939
DAXX,11.867
ONECUT3,11.84
BTN2A1,11.829
OR8D2,11.767999999999999
UBTFL1,11.747
TEK,11.738
ZBTB32,11.737
SIT1,11.73
C9orf72,11.712
C4orf17,11.698
KIR3DL3,11.690999999999999
KIAA1755,11.685
LRRC17,11.684000000000001
SEPT1,11.682
PGM5,11.675
PPP1R16B,11.671
POLR2I,11.645999999999999
PSMB9,11.624
GAS1,11.593
CALB2,11.527000000000001
PXDN,11.524000000000001
GJA10,11.52
EPAS1,11.517999999999999
RWDD2B,11.494000000000002
ZIC1,11.487
FGF22,11.447000000000001
OSER1,11.442
COL5A1,11.440999999999999
SLC12A3,11.422
LTB,11.386
KIAA1755,11.373
