gene,z score
SLAMF7,62318.65
RIMS1,1402.3329999999999
DISP3,1125.264
PRDM9,875.534
DNAH9,812.763
CLDN6,754.1610000000001
OGN,674.421
MYO3A,581.876
CDCA8,534.769
CGA,445.647
MYBL2,403.589
LINGO2,299.11400000000003
CCNE1,251.575
CCK,239.419
C10orf90,229.715
F5,226.303
CDC20,219.09
CENPF,217.78900000000002
DEPDC1,186.35299999999998
TMSB15A,186.15
ZIC2,183.813
MAGEE2,174.577
KIF14,163.219
KIF2C,153.632
RP1L1,147.26
SPAG5,146.965
C6orf58,146.126
AQP12B,144.78
NEK2,137.752
RPRML,136.565
FAM72A,132.548
SVIL,119.06299999999999
ADGRB2,104.435
UAP1,104.235
BIRC5,103.527
ASPM,103.296
DIO1,102.75
GREM2,100.27799999999999
MAGEA9B,96.881
SMC1B,95.78
SLC7A3,92.464
PDX1,91.56299999999999
NUF2,90.10600000000001
ARMC4,85.47399999999999
SLURP1,82.992
NTF4,81.362
PLPPR3,76.867
KCNB2,76.824
CACNG6,76.214
EBP,75.61399999999999
CFAP100,74.083
CYP26A1,71.10600000000001
PTCHD1,70.086
LRFN2,68.607
SMPX,68.243
PAX1,67.915
TMEM52,67.407
TCEAL2,65.08
SLC6A11,64.93
KIF18B,64.168
SLC16A13,64.07300000000001
TMEM132B,63.174
R3HDML,62.726000000000006
SLC7A4,62.175
EPHA10,61.626000000000005
UBE2C,61.527
FAM133A,58.155
TOP2A,58.07
C8orf74,57.839
KCNQ2,56.18600000000001
PPBP,55.216
C10orf53,54.772
CAPN8,53.036
CHAT,52.748999999999995
NPPB,52.426
HIST1H2BG,51.897
SLC16A11,51.882
HES7,50.93600000000001
UPK1A,50.566
GBP1,50.441
CILP2,48.961999999999996
PLA2G2A,48.108000000000004
CCNE2,47.313
HIST1H2AE,46.433
NKX2-2,45.842
TCP11,44.97
MAP7D3,44.919
AURKB,44.768
RDM1,44.068999999999996
RYR2,43.883
RTBDN,43.786
UHRF1,43.713
GSG1L,42.924
MARCKSL1,42.913999999999994
CENPW,42.785
E2F2,42.663999999999994
TKTL1,41.928999999999995
GBP7,41.808
PHACTR3,41.611999999999995
IL1RAPL1,41.452
LTA,40.734
SBK1,40.164
PRKCG,40.092
WFDC10B,39.223
PLPPR3,39.054
PNMA3,38.955
TCEAL5,38.693000000000005
FBXO43,38.222
PLA2G2D,38.198
SKA3,37.667
FBLN7,37.345
BCHE,36.796
FAM19A4,36.584
BAMBI,36.108000000000004
LRP8,35.717
RAB9B,35.31
DRP2,35.145
MYBPC2,35.059
ZBTB8B,34.783
CKAP2L,34.652
IRX5,34.478
CDC7,34.186
CDC45,34.179
ST8SIA6,34.0
SPATA19,33.909
BIRC7,33.882
SHCBP1,33.535
TMSB15B,33.439
TMSB15B,33.439
NHLH1,33.37
DLX4,33.018
NONO,32.638000000000005
RSPO3,32.624
SRCIN1,32.391999999999996
CACNA1B,32.305
KLK5,32.266
NLRP5,32.118
CDK1,31.912
TMEM200B,31.881
HIST1H2BJ,31.651
LRRC26,31.366
ZNF280A,31.234
HASPIN,31.079
IGFN1,29.36
GTSE1,28.916999999999998
PRSS16,28.768
REG1A,28.62
PLA2G4D,28.105
