gene,z score
CRNN,841.6510000000001
OPRK1,555.989
RBBP8NL,224.16099999999997
CYP11B1,219.18
DRD4,201.487
SPINT3,176.005
SHANK1,165.49400000000003
CYP11B2,157.047
ARHGDIG,151.41
KCNT1,138.81799999999998
ALOX15,137.009
ALDH3B2,136.541
PAGE4,134.774
SCT,93.15
GPR1,83.14299999999999
IL4,75.098
KRT13,71.454
KLHL38,69.266
MYMK,67.008
RASGEF1A,65.91199999999999
GAGE1,65.906
GAST,65.418
GAGE13,64.766
PAGE4,63.481
S100A7,60.107
CARNS1,58.013000000000005
RGS16,57.162
GRIN1,55.326
MYH7B,55.076
ATP2B3,54.912
KCNJ9,52.941
GDF5,49.97
PPP1R14D,49.016000000000005
CYP2W1,48.955
MS4A12,48.198
UPK3B,45.931999999999995
MSMB,45.708
SERPINB7,41.897
PGM5,40.834
ALPI,40.39
ADGRF2,38.617
NOS1AP,38.402
KRT3,38.044000000000004
LRRC25,37.33
TENM4,36.743
PTCRA,36.609
RGSL1,36.426
PNLDC1,35.829
BRS3,35.763000000000005
CNIH3,35.242
PKP3,34.179
WNT3A,33.236999999999995
LCN10,32.167
DISC1,31.914
HHAT,31.894000000000002
ACTN2,31.842
CA5B,31.701999999999998
PGM5,31.506999999999998
KRT34,31.454
OBSCN,31.191
GNG13,30.892
GPX6,30.403000000000002
TKTL1,29.813000000000002
CNGA3,29.798000000000002
ELF5,29.554000000000002
MYO1A,28.18
CRACR2B,28.155
MYH7B,27.905
HS3ST4,27.695
MMP23B,27.566999999999997
IL24,26.976
LCE3D,26.958000000000002
INSM1,26.651
LCNL1,26.601
LMX1B,26.583000000000002
C6orf222,25.958000000000002
LHX9,25.956999999999997
CLPS,25.756999999999998
CCDC140,24.846
C1orf226,24.592
PTPRT,24.243000000000002
CEL,24.215
PRPH,24.194000000000003
ID1,23.919
TEDDM1,23.522
GINS1,23.465
ANO9,23.291999999999998
LRRC3B,23.0
KRT4,22.58
CSRP3,22.579
BMP2,22.01
PIP,21.988000000000003
NRARP,21.984
RGS11,21.89
KCNK2,21.648000000000003
MTNR1B,21.351999999999997
ID1,21.331999999999997
SPAG11B,21.291999999999998
MAPK15,21.156
KCNH2,20.998
DOK7,20.899
CHD1L,20.894000000000002
THEG,20.89
PRELID3A,20.802
CLIC3,20.795
PRPF3,20.719
ANKRD1,20.686999999999998
DMKN,20.58
IVL,20.285999999999998
PHACTR1,20.165
CLVS1,20.156
OR5AN1,20.112000000000002
NKX2-8,19.923
FBXO32,19.737000000000002
S100A9,19.477
IL17A,19.447
MFSD6L,19.429000000000002
CARD9,19.374000000000002
NUDT17,19.249000000000002
ANKRD30A,19.122
C17orf98,19.098
DLEU7,19.062
EGR4,18.975
B4GALNT4,18.92
GALNT6,18.687
MAGEB16,18.527
RCOR2,18.447
SCAMP3,18.4
SLC1A3,18.396
MT3,18.162
FOXF2,18.017
RGS20,17.948
LRFN4,17.797
CAPS,17.701
OBSCN,17.683
CBARP,17.679000000000002
OVOL2,17.632
SRPK3,17.619
TGFB1,17.599
QSOX1,17.553
S100A14,17.374000000000002
DUSP15,17.365
WT1,17.351
KIZ,17.132
KCNK2,16.988
CCL3L1,16.924
C9orf57,16.87
ZNF337,16.797
OPN5,16.788
BMP7,16.76
TAAR1,16.679000000000002
WDR97,16.672
DOK5,16.62
LRRTM1,16.611
ALOXE3,16.557000000000002
BAIAP2L2,16.529
PDCD1,16.42
LRRN4,16.374000000000002
FZD9,16.312
MPP1,16.293
NUDT17,16.167
PSG4,16.08
BMP6,16.057000000000002
TTYH1,15.963
FOXS1,15.956
TMEFF1,15.888
EPS8L1,15.883
SPAG11A,15.864
KRTAP5-1,15.729000000000001
FOXJ1,15.683
SPRR2A,15.655999999999999
PLA2G4F,15.630999999999998
TEDDM1,15.588
KCNH2,15.529000000000002
RNF113A,15.341
CACNG1,15.294
TNFRSF18,15.216
SCX,15.197000000000001
KIFC2,15.052999999999999
GAL,15.042
ZNF648,15.02
VLDLR,14.999
SYCN,14.908
APOA4,14.860999999999999
BTNL3,14.800999999999998
CNIH2,14.744000000000002
KLHL13,14.709000000000001
NMRK2,14.629000000000001
TOMM20,14.468
CALB1,14.433
GPA33,14.423
KRT6B,14.357000000000001
C6orf132,14.314
SPRR1A,14.277000000000001
CYB5R1,14.245
UBE2Q1,14.225
PAQR8,14.208
OR2F2,14.095999999999998
B3GNTL1,14.035
IL6R,13.905
PRUNE1,13.804
ACP7,13.802999999999999
PYGB,13.73
CRYGA,13.719000000000001
OR6C74,13.696
ENSA,13.669
EDARADD,13.664000000000001
GIPR,13.567
ANXA9,13.562000000000001
COP1,13.548
MGAM,13.545
ID1,13.544
DACH2,13.514000000000001
SCAMP3,13.492
IMPDH1,13.43
CAVIN4,13.325999999999999
OR4F15,13.290999999999999
VWA3A,13.274000000000001
INTS3,13.252
HOMER3,13.175
GLUL,13.161
ACTA1,13.149000000000001
NKD2,13.132
CPLX4,13.100999999999999
RNF115,13.093
SLC39A4,13.078
DACH2,13.058
PRR5-ARHGAP8,12.99
CYP1B1,12.948
POLR3C,12.929
LYPD4,12.908
SLC4A11,12.868
IFNA21,12.76
OR52H1,12.732000000000001
CXorf40A,12.681
DYNAP,12.669
FAM83H,12.652999999999999
DGKQ,12.620999999999999
