gene,z score
PGM5,1769.891
PNMA5,508.36199999999997
CD177,389.89599999999996
PGM5,356.08
LBP,85.78200000000001
OR13H1,83.316
NINL,61.025
MYH4,60.766999999999996
APBA1,58.031000000000006
ERAS,53.096000000000004
CEACAM8,49.854
ZNF536,46.808
FRMPD2,46.306999999999995
HNF4A,45.047
PGM5,44.996
EPB41L1,43.115
LCN2,39.88
KRT85,37.724000000000004
KIF25,35.211999999999996
PGM5,30.171
TEX45,30.154
DEFA1B,29.705
DUSP15,29.674
ALDH1A1,29.647
PARD3,29.598000000000003
APBA1,28.971999999999998
CNTNAP3,28.784000000000002
CNTNAP3,28.783
KLF9,28.753
COL14A1,28.401999999999997
MSH4,28.225
ELAVL2,27.825
CREM,25.925
CNTNAP3,25.798000000000002
OR13H1,25.371
PGM5,24.53
ADAMTS1,24.32
PI3,24.095
ATP1B4,23.818
AQP8,23.686
VASH2,23.599
FCRLA,23.500999999999998
PGM5,23.354
FRMPD1,23.33
MAGEB2,23.045
SLC35F3,21.535999999999998
TMEM252,21.518
PFKFB2,21.06
TTLL9,20.923000000000002
FAM155B,20.745
TMEM252,20.649
DUSP15,20.624000000000002
CDK5R1,20.563000000000002
LMX1A,20.234
LAD1,19.921
SCAND1,19.45
ASIP,19.143
PRG3,18.964000000000002
PRKACG,18.531
UGT2A1,18.469
SEZ6L2,18.402
JCAD,18.111
OR6K6,18.083
PDRG1,18.057000000000002
NRP1,17.948
LBP,17.771
THEM5,17.701
TMEM132E,17.55
KRTAP10-2,17.456
MKX,17.154
LY6G6C,17.07
MYLK2,17.069000000000003
PSAT1,17.023
WNK3,16.989
PARD3,16.454
NINL,16.386
ERAS,16.311
CEACAM5,16.264
PNMA5,16.21
PTPRT,16.159000000000002
TFF3,15.533
PRKACG,15.457
CBLN1,15.095999999999998
CEACAM1,14.927
SEZ6L2,14.822000000000001
PDE4B,14.71
PSAT1,14.69
TMEM252,14.677
CHI3L2,14.485999999999999
PPM1J,14.469000000000001
LBP,14.217
JAM2,13.815999999999999
APBA1,13.814
AKAP8,13.734000000000002
TP53INP2,13.472999999999999
LYPD4,13.47
ALOX12,13.401
COX4I2,13.364
SRARP,13.324000000000002
CEACAM6,13.31
CHI3L2,13.232000000000001
TMIGD1,13.229000000000001
MAPKAPK2,13.148
BPI,12.887
TMEM252,12.77
CLC,12.763
SHOX2,12.657
SI,12.654000000000002
SELE,12.600999999999999
CDHR2,12.588
CCDC60,12.554
ATOH1,12.515999999999998
GC,12.462
CRISP3,12.437000000000001
TCL1A,12.37
S100A12,12.309000000000001
OPCML,12.24
SLC13A1,12.173
CAPSL,12.148
PGM5,12.12
FAM182B,12.084000000000001
NRP1,12.065
CRABP2,12.03
MS4A6E,12.03
OR6N1,11.927999999999999
OLFM4,11.927
C21orf91,11.878
FAM160A1,11.728
CRLF2,11.565
EPHA7,11.475
DEFA4,11.415999999999999
EPB41L1,11.372
LY6K,11.356
ETV3L,11.339
PRDM9,11.312999999999999
AMER2,11.292
LYPD4,11.258
CAMP,11.257
PSAT1,11.245
PDE4B,11.199000000000002
ANKRD34C,11.199000000000002
UBTFL1,11.157
COMP,11.132
ADGRG7,11.064
CEACAM8,11.048
RASSF4,11.036
HAPLN4,10.97
AHSP,10.968
TBX15,10.963
BDKRB2,10.931
FZD8,10.815
TCTE1,10.785
OR10A3,10.784
HAPLN4,10.732999999999999
KCNG4,10.687000000000001
SPP2,10.685
PGLYRP1,10.630999999999998
ADH1B,10.57
WIPF3,10.542
IL22RA2,10.514000000000001
NPIPB13,10.513
GJB6,10.412
ELAVL3,10.347000000000001
LRRC3B,10.338
CCDC50,10.325999999999999
DEFA6,10.317
NINL,10.27
KRT15,10.18
FAM163B,10.169
CADM2,10.146
C4orf47,10.142999999999999
SERPINA3,10.134
FAM131C,10.086
APBA1,10.027999999999999
APP,10.022
APLP1,9.997
CGB2,9.898
BTLA,9.873
OR5AK2,9.852
ZNF626,9.83
NRP1,9.816
RIPPLY3,9.795
ADAMTS19,9.777000000000001
TRIM72,9.757
TTC3,9.711
MMP9,9.668
KLF1,9.666
PRAMEF2,9.662
PSG4,9.602
MYF6,9.561
TCN1,9.522
EYA2,9.515
TGM3,9.506
COL24A1,9.486
TDRD12,9.442
KRTAP4-7,9.429
SLC22A25,9.427999999999999
OR6C4,9.425
IL9,9.388
NCAN,9.366
TBX15,9.363
FRG2B,9.36
NRN1,9.351
SCAMP5,9.343
TSLP,9.329
CPN2,9.318
HOXD13,9.267999999999999
RPH3A,9.258
LAMB4,9.222999999999999
GPR149,9.168
POU2F1,9.148
MIP,9.055
FAM167A,9.033
SERTAD4,9.021
NUDT17,9.02
OR5B3,9.012
ZIC4,8.998
S100A16,8.998
PKD1L3,8.988999999999999
SERPINF1,8.985
ZDHHC17,8.966000000000001
OPRK1,8.962
MYF5,8.918
COL17A1,8.847999999999999
IRS4,8.846
AL035425.2,8.846
SNRPB,8.841000000000001
PPP1R1B,8.832
DSTN,8.812999999999999
TTLL9,8.8
PRAMEF1,8.777999999999999
OR4D6,8.777999999999999
RBP7,8.777999999999999
OTX2,8.773
ZDHHC19,8.752
TERB2,8.692
ARHGEF38,8.683
FZD8,8.68
LIFR,8.68
IZUMO1R,8.673
TMEM132D,8.645
FRMD1,8.642000000000001
FAM83C,8.64
TSHZ3,8.613
PRR14,8.605
ALDH1A1,8.589
DLGAP3,8.582
PCOLCE2,8.578
AGR3,8.551
CYP1B1,8.536
SYCE1,8.501
MMP8,8.472000000000001
KCNH8,8.463
MTMR11,8.442
PLCZ1,8.417
PIP5K1B,8.414
CILP2,8.408
P3H2,8.392999999999999
RNF128,8.392999999999999
DUXA,8.349
PEAK3,8.329
DMRTA2,8.327
MTMR11,8.299
NPY5R,8.286
UGT8,8.245
HHLA2,8.189
SLC22A2,8.179
TM4SF4,8.165
TVP23A,8.15
CFAP299,8.145
CLC,8.142000000000001
YJU2,8.104
NPHS2,8.085
PLXNB3,8.075
NPHS2,8.043
KLHL31,8.043
ZDHHC11,8.043
OSER1,8.017999999999999
TMCC2,8.017999999999999
NOS2,7.994
CNTN5,7.962999999999999
SGF29,7.962000000000001
OR4D10,7.957000000000001
KCTD19,7.9479999999999995
MAGEB2,7.941
OLIG1,7.937
SHD,7.928
CAV1,7.898
LPIN3,7.8839999999999995
CFAP58,7.876
PIP5K1B,7.855
SAA4,7.852
DDR2,7.8389999999999995
CYP27B1,7.807
ABCB5,7.7989999999999995
LY6H,7.7989999999999995
RALY,7.797999999999999
FMNL3,7.797999999999999
NCAM2,7.797999999999999
FAM163A,7.795
BEST3,7.7860000000000005
UPB1,7.78
CSH2,7.775
C9orf50,7.773
CATIP,7.742999999999999
GCC1,7.712999999999999
NIPAL4,7.6739999999999995
HOXD11,7.665
USH1C,7.66
CSAG3,7.655
PIP5K1B,7.651
MCF2,7.598
ALPK3,7.587000000000001
NOTO,7.585
CRHR1,7.584
MYLK2,7.582999999999999
OR6N2,7.575
OR5AN1,7.57
SLC15A4,7.551
ESM1,7.5360000000000005
ERRFI1,7.527
IL11,7.513999999999999
CIDEA,7.513999999999999
ELAVL4,7.513999999999999
EPHB1,7.5089999999999995
BLK,7.497000000000001
BTBD16,7.495
PARD3,7.49
ASB17,7.476
ZNF248,7.472
C11orf86,7.461
KL,7.441
DDX53,7.435
CCDC183,7.426
CCM2L,7.41
C7,7.407
IL17F,7.407
DOCK6,7.379
S100A9,7.377000000000001
OTUD7B,7.362
CLEC4C,7.359
PLCXD2,7.356
ZNF317,7.3389999999999995
STC1,7.33
MOAP1,7.316
RGL3,7.282
LIPG,7.276
CDH1,7.275
DUOX2,7.274
CASQ2,7.274
OR51D1,7.273
ALOX12,7.246
CARTPT,7.24
GLT1D1,7.229
ZCCHC13,7.218999999999999
SLC22A9,7.209
INA,7.209
IMPAD1,7.207000000000001
PIK3C2G,7.185
DUSP12,7.17
GKN2,7.157
CFC1B,7.156000000000001
FOXL1,7.1129999999999995
FOXC2,7.108
UGCG,7.106
CLEC5A,7.055
ZNF574,7.051
TBCC,7.032
FASTKD5,7.029
LDHAL6B,7.025
PACSIN1,7.021
SLC22A2,6.992999999999999
PPM1K,6.9910000000000005
MYLPF,6.985
PIP5KL1,6.984
MEX3A,6.978
SMC1B,6.972
IRF8,6.965
SMOC1,6.959
S100A12,6.959
BPGM,6.954
CRYBB1,6.95
OTOR,6.942
BIN3,6.942
MAGEL2,6.94
ASB17,6.922999999999999
SYT14,6.902
FAM25A,6.897
