gene,z score
GAGE2A,8394.159
ABCC12,7468.493
CD177,1782.05
GAGE2E,1573.505
TKTL1,1514.4520000000002
GAGE12D,1360.568
ADAD2,823.1339999999999
CT47A1,797.429
TRIM60,548.609
KRT85,369.02
TCHHL1,362.84
NPPB,275.712
H2AFB1,270.176
TDRD12,268.618
STAC2,211.727
IFNK,207.892
DCAF4L2,182.46599999999998
HIST1H2BA,178.58599999999998
KIF12,175.054
SSX2,170.13400000000001
TKTL1,167.449
LYZL2,149.124
GAGE13,142.15
C14orf180,140.816
GAGE10,138.591
CASP14,135.718
PAGE1,123.446
C10orf71,105.588
RNF113B,104.863
CASP14,101.36
TBC1D21,98.50399999999999
OR4C6,98.387
FGF5,93.135
MYO18B,87.42200000000001
DDX4,86.316
ADGRB1,85.825
OPN1LW,81.50399999999999
ABCC12,80.081
COL20A1,78.007
KRT85,77.99600000000001
FBN3,77.486
LRRC7,74.748
SEPT14,72.293
COL27A1,70.693
C1QTNF9B,69.402
OR9A4,68.331
HLA-G,67.42
FOXI3,67.403
PCARE,61.589
C10orf71,60.18899999999999
SPON2,59.476000000000006
KRTAP17-1,57.178000000000004
ACSM2B,56.945
OR3A2,56.596000000000004
FTHL17,56.45399999999999
SELENOV,55.578
SETDB1,54.643
MOS,54.13399999999999
PSMA8,53.952
GALNT9,53.135
CFC1B,52.298
CTAG1B,52.239
STAC2,50.473
NRTN,48.849
KCNG4,48.828
COL20A1,48.786
OR10H2,46.519
MUCL1,46.482
PDIA2,46.266000000000005
CT45A1,45.653
KRTAP7-1,44.443999999999996
CEACAM7,44.053000000000004
APOH,43.155
FAM47B,42.956
UTS2R,42.155
ZPLD1,41.979
RTL8A,41.731
DPEP3,40.343
GDPD4,40.148
PNMA5,39.358000000000004
SLC7A3,39.193000000000005
SFRP5,38.895
PAGE4,38.543
TAC3,38.045
CCDC116,37.786
C1orf56,37.49
PSG3,37.282
IZUMO1,37.226
GRIA3,37.196
HIST1H2BA,36.972
SCN2B,36.887
MT1B,36.830999999999996
PIRT,36.501999999999995
MEOX1,36.045
IRS4,36.027
AL035425.2,36.027
DCST1,35.953
ACTL8,35.809
SAGE1,35.635999999999996
ADGRF2,35.477
WDR88,35.073
TBX22,35.03
DMRTB1,34.613
DRGX,34.271
ZNF99,33.83
SLC5A5,33.828
NUP210L,33.778
SPACA3,33.723
PI4KB,33.228
