gene,z score
CTAG2,15803.41
CTAG2,7967.564
CCL17,5421.87
CTAG2,4929.731
MAGEA4,2028.014
PRDM16,1099.565
MAGEB1,973.427
CTAG1B,873.795
DUSP15,835.791
DUSP15,826.1560000000001
UMODL1,640.9680000000001
CCL17,638.491
DUSP15,541.746
CTAG1B,538.207
GRIP1,535.524
KRTAP17-1,411.041
GPR158,361.103
TDRD12,352.60400000000004
MAGEB1,336.491
KIR2DL1,303.319
GRIP1,283.608
CTAG1B,261.345
ELAVL2,257.79
TTR,254.21599999999998
KIR2DL3,233.59599999999998
ASZ1,217.327
DUSP15,214.0
POLR2C,182.93
NOL4L,182.77
SNTG1,177.301
TUBB2B,173.576
IL17A,173.043
CST1,172.835
CCL17,161.151
SLC4A10,148.685
SH3GL2,140.484
CACNB2,130.678
POLR2C,129.654
VSTM2L,127.24799999999999
PCSK2,126.899
LIPI,122.83200000000001
MSLN,121.69
FLG,119.16
ANXA9,119.15100000000001
PLA2G2F,114.835
LRRC19,109.527
NANOS2,104.26299999999999
UGT1A10,101.81200000000001
SLC16A9,97.431
CFHR3,93.62799999999999
TLDC2,92.804
SLC12A3,90.69200000000001
INSL3,90.564
ALK,88.37100000000001
FCGR1A,85.58
ZNF556,84.20100000000001
FAM71E1,83.073
GPR158,81.708
GPR158,78.89399999999999
DUSP15,78.513
HACD1,78.128
SLC7A3,75.944
ADRA1B,74.358
CST1,73.751
SIM1,73.498
NOL4L,72.954
DCC,72.90899999999999
GDA,70.093
CT45A2,69.98
FRG2,69.74
BNIPL,68.431
MAGEB1,68.413
THEM5,67.286
ACBD5,67.08
CTCFL,66.717
SERPINB10,66.37
MT1H,65.469
SIGLEC6,65.21300000000001
PREX2,65.03699999999999
HOXB13,63.187
ANO3,62.953
ATCAY,62.52
CST1,62.409
IGSF9,62.052
FOXS1,61.933
KIR3DL3,61.742
INSL3,61.738
TEX14,61.705
NOL4L,61.461000000000006
HECW1,59.754
LRRC36,59.346000000000004
C9orf57,58.728
PRSS54,57.873000000000005
VCX3A,57.137
CLEC3A,56.985
ADCY1,56.063
CTSS,55.192
MT1G,53.56100000000001
SLCO1A2,51.298
CTSS,51.063
ACTR5,50.983000000000004
TRIM72,50.93600000000001
PIP5K1B,49.53
ACBD5,49.376999999999995
MSLN,49.246
ASAH2B,48.713
C9orf57,48.596000000000004
POU5F1,48.012
GDA,47.928000000000004
JCAD,47.06100000000001
GPR158,46.92100000000001
E2F1,46.701
DLGAP4,45.681999999999995
THEM5,45.437
SPIRE2,45.345
PLEKHG4,45.078
PPP1R14A,44.902
ACBD5,44.778
MLLT10,44.681999999999995
HACD1,44.155
DPY19L3,44.126999999999995
DPY19L3,43.861000000000004
MAGEA3,43.556000000000004
SPATA16,43.306999999999995
PIP5K1B,43.059
GOT2,42.992
FCGR1A,42.989
CTRB1,42.688
SIGLEC6,42.446999999999996
TP53INP2,42.364
CTNNA3,42.335
DPY19L3,42.172
UGT1A8,41.957
OSTF1,41.66
NEBL,41.35
THEG,41.13399999999999
HIST2H2BE,41.031000000000006
VSTM2L,40.863
RSPRY1,40.336999999999996
GPR158,40.141
ACBD5,39.907
SLC7A9,39.764
PDE4DIP,39.48
PDE4DIP,39.149
FUK,38.913000000000004
TFRC,38.085
CST1,37.911
SLC12A3,37.63
ACSS1,36.821
GHRH,36.537
GPR158,36.319
HSPA12B,36.304
NXT2,35.969
DPY19L3,35.834
MADCAM1,35.724000000000004
NPTX1,35.334
KIAA1217,35.293
DPY19L3,35.274
ZNF319,35.196999999999996
POLR2C,34.913000000000004
SLC7A9,34.882
OGDHL,34.83
TTLL9,34.634
VSTM2L,34.34
MAB21L4,34.314
KLC3,34.245
ZNF507,34.126
THEM5,33.813
TCTEX1D2,33.73
TEX15,33.669000000000004
SLC12A3,33.645
ISYNA1,33.62
DIP2C,32.408
MT1M,32.101
SHANK1,31.831
ENSA,31.796999999999997
SLC16A9,31.787
TPRG1,31.750999999999998
BPI,31.730999999999998
PADI4,31.695999999999998
SLC12A3,31.601
NNAT,31.538
TP53INP2,30.704
ID1,30.537
ZNF507,30.405
CTSS,30.353
ZFHX3,30.351999999999997
CDHR3,30.255
TP53INP2,30.057
PRTFDC1,29.987
PI3,29.753
NOL4L,29.666
IQCN,29.581
SLC12A3,29.531999999999996
NOL4L,29.403000000000002
USH2A,29.364
ACBD5,28.92
ID1,28.78
PTAR1,28.7
ZNF507,28.662
HNF1B,28.438000000000002
TRIM72,28.334
SLC17A7,28.324
SYCP2L,28.011999999999997
ACBD5,27.923000000000002
NCBP2,27.74
WDR87,27.668000000000003
ZNF507,27.531
FIBCD1,27.523000000000003
C6orf222,27.506
PRR19,26.815
TMEM273,26.691999999999997
ANXA9,26.521
CD5L,26.474
TRIM6,26.435
CIB3,26.34
HSPA12B,26.335
NTRK2,26.235
FOXL1,26.195
GPR82,26.131999999999998
CNBD1,26.099
ALDH3A1,26.051
OGDHL,26.004
MT1F,25.924
AAR2,25.92
FTO,25.905
NYX,25.862
THEM5,25.858
EIF2S3,25.81
ID1,25.537
TMOD1,25.434
IGSF9,25.316
PPP1R14A,25.250999999999998
VSTM2L,25.206
MUC16,25.19
NBPF4,25.149
DOK4,25.092
MAGEA1,25.024
GOLT1A,24.805
PSMA8,24.785999999999998
TP53INP2,24.526999999999997
