gene,z score
CYP11B1,33199.43
CYP17A1,17245.148
CYP11B2,2688.315
NR5A1,2408.425
STAR,2262.712
HSD3B2,1999.945
KLK12,1599.494
NEUROD2,1376.914
GLYATL3,1275.94
ASB15,1267.722
SSX4,1216.2160000000001
CYP11A1,732.15
DBH,697.778
CYP21A2,621.1469999999999
MC2R,470.52
ARHGAP36,446.055
KCNG4,404.89599999999996
CLEC2A,326.524
SPINK4,322.661
GUCA2A,281.113
DGKK,273.051
AGT,272.2
MAS1,259.94599999999997
TEKT1,259.453
MROH5,258.307
TH,254.345
MUC2,254.296
TPSG1,253.5
LRRC26,219.951
NXPE1,204.391
NEUROD4,200.08
ADIPOR2,190.45
GRIK1,189.02900000000002
HAO1,176.91
KL,170.465
PHOX2A,167.94799999999998
NXF2B,166.613
CFAP61,161.407
CLCA1,159.219
BEST2,156.231
BRINP3,151.355
B4GALNT2,149.211
ATP1A3,142.553
UGT2B11,134.308
CNTD2,121.86399999999999
GHRHR,119.64299999999999
C7orf33,117.305
FRMPD1,115.383
FGB,109.20100000000001
DNAI2,108.874
OPRK1,107.824
SULT2A1,107.421
KRTAP3-3,105.069
NXPE4,105.001
VTN,104.84700000000001
NXF2,102.675
IGFALS,101.648
CIB4,100.06700000000001
SPAG6,98.336
XKR7,94.45299999999999
FZD9,93.274
CRACR2A,91.90899999999999
SYT5,89.08200000000001
GPR179,88.90899999999999
UGT2A1,88.74700000000001
TRIM72,88.355
PRODH2,87.102
FBXL14,86.838
FOXA2,84.139
SEBOX,83.943
TP53TG3B,82.655
HEPACAM2,82.58
ITLN1,82.488
SERPINA10,82.315
KCNB1,82.15799999999999
GPR6,81.095
APOF,80.268
NXPE2,78.419
NXPH4,78.28399999999999
SHD,77.85
ARX,72.165
DUSP15,68.79
KCNA4,68.531
PGM5,68.315
CACNG7,67.97399999999999
CCL24,67.805
ATOH1,66.126
GOLGA6L1,65.324
CFAP52,64.833
PCSK1,64.422
CASQ2,62.784
CYP2A7,62.58
CLRN1,61.437
AWAT1,59.975
GOLGA6L6,58.527
SCARB1,58.111999999999995
KLHL41,57.88
ATP2B3,57.089
NXPH1,56.603
SOST,54.482
IL20,53.895
CCDC83,53.534
FOXA2,52.281000000000006
ADCYAP1R1,52.031000000000006
SSUH2,51.696999999999996
RAB3A,51.59
SLC12A5,51.339
CNTD1,51.136
LRRC52,51.078
C8B,50.038000000000004
ANO3,48.272
KLRC2,48.065
DCX,47.508
PCDHGA7,47.327
FAM163B,47.222
GP9,46.971000000000004
IQCG,46.896
CNTN6,43.995
FAM166B,43.73
CNGA3,43.67100000000001
CALML3,43.309
PROKR2,43.126999999999995
KLRC3,42.92100000000001
FFAR2,42.501999999999995
ZFP42,40.979
PCDHA5,40.958
SPAG6,40.684
PTCHD1,40.648
PLD6,40.598
SLC47A1,40.31
HTATSF1,40.04
DNAH9,39.525
SLC7A9,39.504
PON1,39.501999999999995
TCEAL5,39.168
F7,39.118
C2CD5,38.791
WNK4,38.493
FSTL4,38.427
TAAR1,38.283
DACH2,38.260999999999996
ALOX12B,38.169000000000004
TAPBPL,38.133
AGR2,37.995
CDH7,37.626999999999995
TBX19,37.571
SBK2,37.464
PAK3,37.423
PROZ,37.065
FAR2,36.759
GPR20,36.71
CELF3,36.635
SMOC1,36.4
NKAIN1,36.364000000000004
FKBP4,35.976
CELF5,35.878
HEPACAM2,35.654
DCP1B,35.446
SERPINA12,35.381
SMPX,35.316
PEMT,35.109
HRNR,35.015
SSTR2,34.549
NOX3,34.329
DCAF8L1,34.117
P2RY4,34.068000000000005
RTBDN,33.853
APLP1,33.836
KLK12,33.678000000000004
PTPRT,33.59
AGXT,33.585
GPR37,33.133
CHST5,32.984
LHX3,32.804
MT3,32.709
TTLL6,32.534
TCEAL2,32.365
RYR2,32.325
PDIA4,31.869
DLK1,31.805999999999997
RXYLT1,30.953000000000003
KCNK9,30.904
KLHL38,30.71
SLC16A11,30.654
FCN2,30.555
FGF13,30.502
TMIGD1,30.494
GCM2,30.401
GLRA2,30.373
ST8SIA5,30.299
CHIA,30.298000000000002
CD9,30.177
TFAP2B,29.98
MUC12,29.574
SYP,29.569000000000003
B4GALNT3,29.061
EFNB3,29.058000000000003
BHMT,29.021
NAPB,28.95
SLC22A10,28.932
XPNPEP2,28.584
CCDC60,28.561999999999998
CCDC151,28.47
PIGT,28.246
CCND2,28.234
FAM122A,28.22
BEX1,28.109
TTLL9,28.069000000000003
LRRC4B,28.024
ASGR1,27.746
CLEC3A,27.616999999999997
FAM19A3,27.412
CACNG3,27.328000000000003
FRG2,27.305
NKAIN1,27.275
HSPA2,27.197
KCNB1,27.171
APC2,27.147
ACSL6,27.113000000000003
CDH16,27.087
RSPH10B2,27.011
PENK,26.99
SPATA4,26.96
PHOX2B,26.926
CCDC77,26.899
LHX8,26.886
PNCK,26.785999999999998
GNA14,26.750999999999998
CST5,26.680999999999997
FAM167A,26.623
NWD2,26.505
CHGB,26.491
SP5,26.432
NTRK1,26.418000000000003
LRRC10B,26.375999999999998
PKP2,26.21
ERC1,26.052
INHBE,25.802
HOXA5,25.725
RADX,25.688000000000002
TLX2,25.551
FOXJ3,25.541
B9D1,25.447
PABPC1L2B,25.432
RTL9,25.406999999999996
ZP1,25.357
SHANK1,25.31
MRAP,25.283
C17orf107,25.276
GAGE12G,25.162
FST,25.079
INHA,25.02
KDM5A,24.91
MYADML2,24.906
UNC13A,24.885
C11orf87,24.862
AQP3,24.816999999999997
C1orf87,24.686
LHFPL1,24.553
MLF2,24.553
KSR2,24.439
PRLR,24.389
CPE,24.362
EYA1,24.334
FDX1,24.239
AQP3,24.069000000000003
LYZL6,24.041999999999998
ARSF,23.943
CFAP53,23.851
CLDN15,23.844
SCNN1A,23.715999999999998
SERPINA11,23.59
B3GNT6,23.545
PARP11,23.494
GNE,23.462
FAM71F1,23.328000000000003
RDH16,23.271
ADGRV1,23.224
GUCY2C,23.15
MAGEH1,23.128
PRMT8,23.108
NAA20,23.037
PIPOX,22.951999999999998
CLCN1,22.941999999999997
IZUMO1R,22.896
RPRML,22.872
FTHL17,22.835
ENKUR,22.764
ALAS1,22.573
YRDC,22.561
TMCO2,22.531
ETNK1,22.5
ADCY1,22.438000000000002
MAB21L1,22.401
ENPP2,22.4
CNIH2,22.361
DPH2,22.213
ANKS1B,22.035999999999998
SERPINA6,22.000999999999998
SYNGR4,21.987
DIRAS1,21.925
SLC22A10,21.903000000000002
STK31,21.884
CT45A1,21.57
YBX1,21.568
JSRP1,21.514
AMER2,21.508000000000003
JPH1,21.410999999999998
TPM2,21.41
VGF,21.391
MT3,21.384
PPCS,21.261999999999997
IL20,21.18
CDO1,21.171
WEE2,21.138
CHRAC1,21.066999999999997
USP27X,21.019000000000002
RPN2,21.005
ATP1A3,20.811
LCE5A,20.791
LHX8,20.665
PCLO,20.625999999999998
FAM117A,20.586
ODF3L2,20.58
PARM1,20.568
NEUROD4,20.557
CLDN3,20.517
DYRK4,20.516
SVIL,20.435
FAM120C,20.427
ALKBH5,20.355999999999998
SLC1A5,20.279
NPC1,20.227999999999998
CYB561D2,20.222
SPINK9,20.169
AZU1,20.137999999999998
KCNH3,20.125999999999998
SDK2,20.115
COPS7A,20.062
DLL3,20.005
GUSB,19.986
PTPRF,19.861
CYP2F1,19.73
NDUFA9,19.697
MMP13,19.596
CSN2,19.588
CDX1,19.587
CCDC184,19.586
TBL2,19.58
ATP6AP1,19.517
ASB4,19.486
TBXT,19.480999999999998
TFF3,19.46
NFYC,19.408
GPR173,19.405
MEP1A,19.394000000000002
MYCBP,19.328
FOXN4,19.317999999999998
PCDHGB4,19.311
ASPDH,19.298
IGFBPL1,19.166
PRUNE2,19.155
LTBR,19.153
SEZ6,19.061
PPP1R3F,19.046
RUNDC3A,19.024
PTK2,18.942999999999998
ARL1,18.905
PCDHA8,18.859
CXXC4,18.852999999999998
SPATA46,18.839000000000002
REM2,18.817999999999998
SLC10A6,18.805
MAPT,18.797
KDELR2,18.767
PABPC1L2A,18.76
GSTA3,18.732
SLC38A4,18.729
FGF1,18.694000000000003
RAB39B,18.68
COL2A1,18.646
TMEM130,18.631
CDX2,18.547
DAND5,18.523
BRS3,18.514
EDA,18.459
MMP24,18.425
CDKL2,18.405
YIPF2,18.404
TMEM63C,18.264
PRLHR,18.247
FGFBP3,18.201
ARG1,18.195
RASD2,18.192999999999998
DNAJB5,18.192
CCDC33,18.16
OSBPL6,18.14
ABHD17B,18.1
GDAP1L1,18.039
GLIPR1L2,17.964000000000002
FOXB1,17.938
CA3,17.799
PHB2,17.791
EBNA1BP2,17.789
VWA5B1,17.777
SPATA46,17.766
KLK15,17.703
ARL9,17.652
OPRK1,17.647000000000002
PRODH,17.647000000000002
CYB5D1,17.625999999999998
BRSK1,17.59
OTUB2,17.527
NCAPD2,17.512
TSPAN13,17.503
IQSEC3,17.442999999999998
TRPC4,17.392
LAMA1,17.32
ZNF384,17.128
MYOD1,17.1
TMEM35A,17.097
LRP2BP,17.077
FBXW8,17.008
TBX3,17.006
TNPO2,16.963
ZMPSTE24,16.92
PDIA5,16.912
KRT20,16.894000000000002
LINGO4,16.893
ACSL1,16.893
RND2,16.812
FLNA,16.779
SPATA2,16.76
FAM135B,16.73
AKR1B1,16.694000000000003
CNN1,16.624000000000002
PDE6H,16.605999999999998
PNMA8A,16.583
NOP2,16.547
TLX1,16.379
ZNF138,16.375999999999998
AWAT1,16.262999999999998
CCDC65,16.259
SERPINF2,16.224
RIMBP2,16.206
LBP,16.16
ATP6AP2,16.146
IER3IP1,16.13
FMOD,16.108
CRCP,16.038
TMEM145,16.034000000000002
DMRTC1B,16.017
CEP250,15.994000000000002
GMPPB,15.994000000000002
PCDHB5,15.875
TP53TG3B,15.825
SYT3,15.812999999999999
JPH3,15.731
FLG,15.725999999999999
DRGX,15.713
SLC45A4,15.69
C12orf57,15.68
PLPPR2,15.671
FSD1,15.67
GC,15.67
KRT40,15.66
NAAA,15.66
C17orf51,15.659
GRID2,15.651
NNAT,15.606
CPA5,15.555
DUSP27,15.543
KHDRBS2,15.495
ZNF165,15.47
SPAG8,15.469000000000001
RFPL1,15.456
DLG4,15.443
MAGEE1,15.388
PITX2,15.285
KLHL32,15.257
LRRTM2,15.184000000000001
OR2A4,15.164000000000001
ITGA10,15.149000000000001
ACAD10,15.135
GADL1,15.12
CPLX1,15.103
PLOD3,15.103
AMBN,15.056
LHX8,15.042
ODF3L2,15.015
HCRTR1,15.003
EMC10,14.936
C1orf109,14.884
ZNF491,14.83
USP5,14.825999999999999
GAPDH,14.825
LRAT,14.807
SARM1,14.764000000000001
TMPRSS6,14.735999999999999
TPI1,14.715
TMEM252,14.693
SLC31A1,14.68
MAP9,14.671
ATP8A1,14.644
ITFG1,14.630999999999998
OR2G2,14.614
AKIRIN1,14.59
ARMC4,14.588
C16orf54,14.564
MYL9,14.549000000000001
FADS1,14.534
FAM163A,14.529000000000002
AS3MT,14.527999999999999
TYW1,14.475
LMX1B,14.464
SRCIN1,14.44
CLGN,14.429
ADCYAP1R1,14.424000000000001
SLC6A9,14.415999999999999
ZCCHC12,14.413
POMT2,14.383
BABAM2,14.350999999999999
GRM1,14.345999999999998
CTXN2,14.338
UGT2B7,14.324000000000002
SPATS1,14.311
KCNA5,14.288
TMEM248,14.282
PDRG1,14.27
VPS13A,14.244000000000002
GOSR2,14.225999999999999
PEG3,14.185
ABHD15,14.182
KCNN1,14.181
GUCY2C,14.177
MST1,14.17
SDR16C5,14.147
APOBEC1,14.138
PKHD1L1,14.118
SCGB2A1,14.117
CDCA8,14.061
PCDHA12,14.057
SPINK14,14.046
VPS53,14.017999999999999
C16orf71,14.013
CNGA3,13.989
CLRN3,13.984000000000002
PDZD4,13.975
KRT39,13.967
NXF5,13.952
TTC8,13.934000000000001
PARM1,13.931
COG6,13.923
C1orf226,13.92
C4orf36,13.917
TCP10,13.914000000000001
GGH,13.905
PRKCI,13.901
IGFBP2,13.89
LRRC59,13.867
KCNG1,13.823
AP3D1,13.732999999999999
RIMKLA,13.725999999999999
SYT4,13.703
ATP6V0B,13.675
REG4,13.669
ACSS2,13.659
TBC1D29P,13.651
CITED2,13.605
CD99L2,13.595
TSPAN8,13.585
ARL14,13.554
TOM1L2,13.495999999999999
CYP4F3,13.417
CLEC4M,13.401
CBX2,13.398
ST8SIA5,13.392000000000001
GARS,13.390999999999998
ANKRD34A,13.363
GOLGA5,13.338
DERL1,13.33
RPH3AL,13.318
RABGEF1,13.307
SEC16A,13.280999999999999
COL4A6,13.265999999999998
PRUNE2,13.216
UTP11,13.206
MORN5,13.2
CYP46A1,13.195
FEZF1,13.194
SRI,13.181
TRAPPC9,13.158
FOXA2,13.136
RGS8,13.106
RAB36,13.097999999999999
GLRA4,13.089
ASB4,13.085
ADRB1,13.047
SOX15,13.035
OR2K2,13.025
WDR19,13.013
CAPS2,13.007
SEC16A,12.991
FAM155B,12.969000000000001
MTUS2,12.940999999999999
NOVA1,12.901
HOXA6,12.898
RDH8,12.894
SLC25A42,12.884
MS4A15,12.883
CACNB2,12.880999999999998
GABRA1,12.875
BAIAP3,12.866
MEP1B,12.847999999999999
BEX2,12.837
SLC22A23,12.831
C8A,12.822000000000001
ZIM2,12.799000000000001
RAET1G,12.796
DIRC1,12.759
TMEM179,12.734000000000002
EYS,12.732000000000001
BET1,12.706
ANGEL1,12.700999999999999
FAM189A2,12.697000000000001
AOC1,12.671
AGR3,12.669
PIP5K1B,12.655999999999999
EIF2AK1,12.645
CYP2C8,12.627
SPINK4,12.625
SYNGR3,12.625
GABBR2,12.604000000000001
SNIP1,12.588
TCTN1,12.577
CYP4A11,12.573
SND1,12.561
TCHH,12.556
SLC7A14,12.555
KIF3A,12.546
ZNF275,12.477
MRPL51,12.472999999999999
ERN1,12.45
ZNF561,12.437000000000001
ELANE,12.435
GOLGA3,12.429
PCYOX1L,12.414000000000001
TMPRSS11D,12.41
