gene,z score
MAGEA1,3278.762
C20orf96,1636.411
ZNF430,1301.535
C20orf96,1226.003
C20orf96,1105.9160000000002
AADACL4,928.054
C20orf96,766.447
ZNF430,652.447
ZCCHC3,596.086
NETO2,527.581
MAGEB2,526.567
C20orf96,520.124
COLGALT2,392.721
RBM39,285.248
RBM39,274.685
SLC9A4,258.945
MYH1,258.61
LRRN4,225.17700000000002
CST1,220.495
LRRN4,214.465
RBM39,209.679
RIMS4,204.2
LRRN4,194.28799999999998
FAM189A2,186.206
PAX5,185.673
NXF2,165.104
GALT,152.209
MAGEA3,146.231
APOA2,141.586
RALY,134.316
GALNT13,126.59700000000001
NOL6,123.583
ZNF343,106.177
PAX5,98.15100000000001
MYH4,93.62299999999999
ABCA4,90.329
TRPC4AP,79.835
CSAG1,77.943
INSL4,77.683
RALY,77.423
PIGU,70.571
KCNK15,68.828
TMEM145,68.58
LGSN,68.543
ZNF343,67.875
NXF5,66.79
LCE1E,66.72800000000001
PIGU,62.748999999999995
KCNQ2,62.516999999999996
ZNF365,62.223
SPEF1,59.253
KCNK15,57.113
RBM39,53.299
G6PD,52.635
ZNF430,52.471000000000004
SH3GL2,51.784
PIWIL3,51.775
ZNF257,51.707
CRLS1,51.167
FOXA2,51.055
ARMC4,48.222
IGFBPL1,47.68899999999999
TRPC4AP,47.278
PRMT8,46.284
GPX5,45.358000000000004
PLXNA3,44.965
RTEL1,44.301
LMNTD1,43.196000000000005
FRMPD1,42.725
G6PD,42.652
CD93,42.428999999999995
BHMT,41.78
HIPK4,41.218999999999994
MTG2,40.942
ZNF100,40.577
CRLS1,40.025
PHF24,40.013000000000005
HCN2,39.68
AADACL3,39.407
FRMPD1,39.177
HELZ2,38.911
ZNF343,38.676
TNFRSF6B,38.368
TMPRSS3,38.287
AKAP14,38.253
GJB1,38.007
BMP7,37.812
VSIG10L,37.703
ALOX12,37.54
APLP1,37.518
FAM50A,36.775999999999996
LINGO4,36.186
CST2,35.506
LONP1,35.451
MOCS3,35.335
TMTC1,34.771
ITLN1,33.985
ECM1,33.827
MAGEA12,33.771
CST2,33.648
GATA5,33.589
OLIG1,33.551
AKR1C4,33.51
VTCN1,33.35
NTSR1,33.238
RALY,32.884
STAU1,32.716
CDK16,32.01
C1orf61,31.875
GPR158,31.545
RAB5IF,31.363000000000003
MUCL3,30.365
PIGU,30.365
APOO,30.18
KCNG1,30.136
L1CAM,30.093000000000004
GBA2,29.745
PCNA,29.241999999999997
PCNA,29.166999999999998
IDH3G,28.95
CD93,28.921999999999997
NOL6,28.583000000000002
LBP,28.566
C1orf61,28.535
CCDC190,28.494
ASTL,28.16
CLIC6,27.596
MYH7B,27.412
NELFCD,27.37
TLL2,27.369
NOL6,27.214000000000002
KAT14,27.206999999999997
DNAJC5,27.055
ZNF334,27.031
BAMBI,27.026
RIN2,26.43
CRLS1,26.373
SRC,26.108
KIR2DL1,26.096
SVOP,25.723000000000003
PAX5,25.644000000000002
PLA2G2A,25.517
S1PR5,25.435
