gene,z score
HPR,73.56
WNT2B,64.03
LBP,47.666000000000004
HP,41.525
SPRR2D,40.405
SPRR1B,39.062
LRRTM3,33.263000000000005
C9orf57,31.208000000000002
SPRR1A,30.641
SPRR2A,29.804000000000002
PCYT1B,27.369
PYDC1,25.979
SOX3,25.958000000000002
TNFSF4,23.598000000000003
RASGEF1A,22.67
PTH2R,21.717
CRCT1,21.432
HOXB1,21.343000000000004
SPRR2F,21.305999999999997
RAB3C,20.58
SERPINI2,20.563000000000002
WDR49,20.203
IFNA16,20.134
CAPN8,19.92
SERPINB11,19.879
NOTO,19.141
SLC18A3,19.128
SPRR2E,18.84
NDRG4,18.455
SPRR3,18.352999999999998
IVL,18.059
IL31RA,17.956
HS3ST5,17.8
OR56A3,17.581
TRIM60,17.42
UNC80,17.129
GLTPD2,16.977999999999998
STMN2,16.848
GRM5,16.215999999999998
ASPHD1,16.131
MRGPRX2,15.757
POU3F2,15.583
CRYM,15.3
TGM5,15.225
RNF148,15.224
RHCG,15.200999999999999
REG1B,15.125
RASGEF1A,15.097000000000001
LIM2,15.026
OR2B3,14.984000000000002
FAM25A,14.755
IL7,14.604000000000001
RNF133,14.417
PDIA2,14.405
KCNA10,14.357000000000001
SLC13A3,14.323
TSBP1,14.09
WDR25,14.052999999999999
MSTO1,14.029000000000002
CHST8,13.779000000000002
NKX2-3,13.665
LCE1C,13.659
PRLR,13.645
TMSB15A,13.543
CCL1,13.523
ADH4,13.253
NKAIN3,13.231
RASL11A,13.225999999999999
TMEM35A,13.013
OR10J3,13.0
OR6C68,12.98
EXTL1,12.915
PLAC8,12.882
CA10,12.847999999999999
SPDYE4,12.814
C9orf135,12.672
SCGB1D4,12.639000000000001
TAS2R38,12.542
FST,12.474
FAM83D,12.449000000000002
BCL7C,12.415999999999999
CARD18,12.405
NTRK1,12.363
CYSRT1,12.282
SMAGP,12.275
OR5AK2,12.088
CCDC107,12.065999999999999
FNDC5,12.035
SCN8A,11.977
HDC,11.849
PMCH,11.822000000000001
IFNA14,11.795
KRTAP4-3,11.703
LGR5,11.627
UNC5D,11.610999999999999
CCL17,11.593
PLCZ1,11.57
PKLR,11.507
ATP12A,11.437999999999999
LGALS13,11.424000000000001
PRSS54,11.377
C6orf141,11.352
MGMT,11.318
AOC1,11.312000000000001
CCL22,11.23
S100A4,11.012
MYL9,11.001
DNLZ,10.83
PAPPA2,10.790999999999999
INSYN2,10.785
CST3,10.741
LCN12,10.713
KCNK12,10.671
MMP24,10.61
TIMP1,10.595999999999998
CT45A1,10.550999999999998
EPHA6,10.542
FBXO2,10.540999999999999
PDZK1,10.517999999999999
CST6,10.445
CLTRN,10.431
FAM57B,10.407
ZNF337,10.377
DUSP2,10.297
COMMD6,10.294
REM1,10.247
MT2A,10.197000000000001
FRG2,10.184
POMC,10.141
FUT5,10.105
MIA,10.075
SOSTDC1,10.072000000000001
MOBP,10.03
ACVR1C,10.03
VWC2,9.994
CT83,9.991
SEC14L4,9.985
C1orf122,9.967
DPP7,9.949
SFTPA2,9.948
TRIB2,9.943999999999999
OLIG3,9.919
FCRLB,9.889
KBTBD13,9.849
CALML5,9.837
DNAJB8,9.835
ACOT12,9.816
OR6F1,9.812000000000001
POLR3G,9.799
SELENOM,9.793
TSR3,9.785
SRD5A1,9.758
PSMD4,9.602
NSMCE1,9.543
TCF21,9.522
BMPR1B,9.5
ABCA12,9.477
RARRES2,9.465
DHCR7,9.423
ELOB,9.422
OXT,9.402000000000001
S100A13,9.395
NPY2R,9.39
DUSP23,9.361
IL23A,9.354
NPFFR2,9.338
CABP1,9.327
ZNF593,9.286
PRKCB,9.255
OR13D1,9.2
TBC1D3H,9.193
PROK1,9.165
BRIX1,9.157
CORIN,9.142000000000001
ZP3,9.082
MRPL28,9.079
NDUFB10,9.064
FGF8,9.029
TACR1,9.008
HAPLN2,8.962
TNP1,8.961
LAMTOR4,8.924
RPS9,8.902999999999999
ZDHHC9,8.895
USP6,8.876
MRPL54,8.851
NUDT2,8.85
PRODH,8.835
PRPH,8.829
LPCAT1,8.818999999999999
STUB1,8.789
CALB2,8.772
KRTAP2-2,8.767999999999999
TTC9B,8.766
MDP1,8.762
GYPA,8.761000000000001
COX7A1,8.722000000000001
SMIM1,8.699
PTGES2,8.689
THBS4,8.68
EMC9,8.673
APRT,8.666
CHGB,8.645
YARS2,8.645
ARMC5,8.627
C9orf50,8.627
BASP1,8.618
FAM126A,8.603
VSIG4,8.587
CLRN3,8.568999999999999
LRP2BP,8.561
SNRPE,8.555
NSUN2,8.531
TFAP2A,8.509
ALOX12B,8.507
NENF,8.49
SLC25A26,8.484
NRG2,8.467
CD164L2,8.402000000000001
AGPAT2,8.383
C2orf83,8.383
HOXD1,8.374
CCDC134,8.367
DGCR6,8.361
TUBGCP2,8.356
OR5M10,8.345
TPRX1,8.329
ADPRM,8.327
CRYBA2,8.32
DEXI,8.312999999999999
FBXL15,8.311
SLC51B,8.302
NUDT14,8.292
BST1,8.264
C17orf50,8.261000000000001
MYL6B,8.254
PTTG2,8.242
PCP4L1,8.235
SLC25A18,8.232999999999999
THAP7,8.213
ARX,8.158
NECAB1,8.152000000000001
LCE1D,8.142999999999999
AMBN,8.138
S100A5,8.135
MAN1B1,8.125
S100A7,8.113999999999999
LCE1B,8.054
NPPC,8.052
SCNM1,8.048
SLC10A4,8.047
ZNF682,8.033999999999999
FOXF2,8.029
PSMB7,8.029
ERICH6B,7.9879999999999995
PMVK,7.985
KLHDC4,7.962999999999999
SLC9A4,7.9479999999999995
CLVS1,7.947
WDR54,7.943
SERTAD1,7.928
EDF1,7.912000000000001
CLDND2,7.905
MED10,7.905
PLEKHG1,7.902
ST20,7.897
HMX1,7.894
EIF2S2,7.882999999999999
BMP3,7.879
TFAP2D,7.867999999999999
TMEM219,7.867000000000001
CD70,7.862
CHMP2A,7.857
OR5D13,7.8420000000000005
CAPN12,7.832999999999999
ZNF337,7.805
CDHR3,7.803999999999999
BOLA2,7.8020000000000005
SURF2,7.794
ABHD17C,7.792000000000001
CIAO3,7.78
ATOX1,7.772
MRPL20,7.771
PDRG1,7.7620000000000005
LY6K,7.75
PPP1R14D,7.747999999999999
MRPL55,7.715
CCDC61,7.711
PLEKHS1,7.704
ZNF784,7.697
C19orf24,7.6770000000000005
C12orf57,7.672999999999999
NHP2,7.653
CRYGN,7.649
TEX15,7.647
PHPT1,7.638
RPL21,7.626
PON1,7.624
SPRN,7.622999999999999
TEN1,7.619
INAFM1,7.617000000000001
FAM78B,7.598
C1orf50,7.593999999999999
CA12,7.591
CYB5A,7.587000000000001
C17orf50,7.5729999999999995
SPATA2L,7.555
DNAJB2,7.54
SIVA1,7.537999999999999
EXOSC4,7.5360000000000005
MFSD2A,7.535
NOSIP,7.519
PSMB4,7.516
GSTZ1,7.5120000000000005
RASGEF1A,7.5120000000000005
RPL35,7.507000000000001
RNASEH2C,7.506
AADAC,7.497999999999999
GCKR,7.484
TBPL2,7.477
NTMT1,7.473
PYCARD,7.471
INSL5,7.471
FAM89A,7.46
MRPL52,7.444
NDP,7.433
TIMM10,7.428
MPG,7.425
RANGRF,7.412999999999999
CD1A,7.409
CNGA3,7.402
TXNL4A,7.395
CKS1B,7.392
BGLAP,7.388
PSMB1,7.386
SLC9A2,7.359
TXNRD2,7.353
IL4I1,7.337999999999999
PRPF31,7.336
ELP5,7.332999999999999
LSM7,7.332000000000001
SYCE1,7.316
MRPL27,7.313
FUT2,7.306
RASGEF1A,7.292999999999999
PDZK1,7.28
PRAMEF20,7.266
RPS21,7.265
C7orf50,7.263
AARSD1,7.2620000000000005
GSTO1,7.261
NPPC,7.2410000000000005
BMP5,7.24
DYNLT3,7.236000000000001
CHMP6,7.228
GRB14,7.226
TNFRSF1B,7.212000000000001
CFAP73,7.1979999999999995
CALHM3,7.196000000000001
CFAP410,7.193
PIH1D1,7.186
MT1F,7.184
LAGE3,7.178999999999999
TBL3,7.178
TSTD1,7.165
WDR34,7.16
GABRA1,7.157
CD2BP2,7.147
HINT2,7.126
PMFBP1,7.126
CBR3,7.104
CCDC12,7.1
NUDC,7.093999999999999
HSD17B1,7.077999999999999
COX7A1,7.077999999999999
ETFB,7.077000000000001
MRGPRF,7.069
INSL4,7.069
CLEC4E,7.066
EPYC,7.063
OGFOD3,7.059
KRTAP3-2,7.059
SELENOH,7.051
TFAP2B,7.0489999999999995
C11orf98,7.045
UFSP1,7.045
DPM3,7.037999999999999
METRN,7.029
POLR2I,7.026
HMSD,7.021
UGT3A2,7.019
RABL6,7.006
FOXL2NB,6.999
MRPS17,6.997000000000001
CNIH3,6.992000000000001
MMAB,6.99
BAALC,6.981
NME3,6.97
TST,6.959
ROM1,6.957000000000001
PCBP3,6.938
RPL34,6.934
TMEM203,6.93
MGLL,6.9239999999999995
FAM184B,6.921
CRNN,6.915
HRASLS5,6.914
DTYMK,6.904
SSSCA1,6.895
CHST7,6.893
KRT79,6.892
ARL3,6.892
DTNA,6.8839999999999995
GSTT4,6.881
FKBP2,6.88
GDF11,6.876
HS3ST3A1,6.869
NR1I3,6.857
CSMD2,6.855
CEMIP,6.855
SDHAF2,6.848
RDH5,6.836
TGM7,6.831
PDE6A,6.827999999999999
C4orf17,6.822
PAF1,6.814
CCDC85B,6.814
CLDN22,6.812
COPS9,6.803
C16orf91,6.789
FIS1,6.784
PRLH,6.778
PDCD6,6.777
SFTPA1,6.773
PRUNE2,6.769
ROMO1,6.7620000000000005
TMEM95,6.761
TUBA1C,6.752000000000001
GALNT6,6.749
DENND6B,6.747999999999999
PRLR,6.746
SLC27A5,6.7379999999999995
PRKD2,6.733
INSM2,6.706
FABP5,6.706
FKBPL,6.691
NUDT1,6.691
ZNHIT2,6.688
SYN3,6.686
VIPR1,6.682
NDUFS6,6.6770000000000005
TSSC4,6.653
USF1,6.644
CHCHD5,6.638999999999999
RPS3,6.632999999999999
BRD9,6.632000000000001
SIL1,6.626
GNL1,6.624
STARD10,6.622999999999999
C6orf222,6.622999999999999
SF3B5,6.622999999999999
LEMD1,6.619
RPS5,6.619
PLP1,6.617000000000001
L3MBTL3,6.6160000000000005
SPINK9,6.61
TOMM7,6.604
WDR70,6.603
TAS2R13,6.6
PSMG1,6.599
RPS15A,6.599
RPSA,6.599
MRNIP,6.582999999999999
BRMS1,6.58
SIGLEC8,6.58
TRAPPC2L,6.567
TAS2R7,6.565
CYB5R2,6.56
HSCB,6.545
SEPT3,6.544
ZBTB8B,6.542999999999999
MRPS34,6.537999999999999
RAB34,6.5329999999999995
C1QL2,6.527
STON1,6.526
HAPLN2,6.525
PGBD5,6.52
ALDH3B2,6.518
PLIN2,6.517
TRIM42,6.513999999999999
RPL18,6.51
SPRR2G,6.51
GADD45GIP1,6.504
GCHFR,6.502999999999999
OR13C9,6.502999999999999
NDFIP1,6.499
AURKAIP1,6.4879999999999995
DUOXA1,6.478
EIF3K,6.477
APEH,6.47
FAM83C,6.468999999999999
UBE2J2,6.462000000000001
ZFAND2B,6.4479999999999995
PHB,6.432
SOX17,6.428999999999999
GABRQ,6.428
A1BG,6.4270000000000005
TMEM176A,6.4270000000000005
SUGCT,6.425
JSRP1,6.4239999999999995
ZNF774,6.417999999999999
RPL23A,6.412000000000001
RPS11,6.402
PES1,6.4
RPL28,6.399
EEF1D,6.398
RPS19BP1,6.392
EMG1,6.3870000000000005
ADAMTSL4,6.37
NLE1,6.365
RPLP2,6.364
B3GALT6,6.358
PROM2,6.354
BLOC1S1,6.35
CTU2,6.347
GRM8,6.327000000000001
WLS,6.3229999999999995
MRPL11,6.321000000000001
ARFRP1,6.32
ATG101,6.313
LRRN4,6.307
ZGPAT,6.303
WDR46,6.301
S100A11,6.2989999999999995
BTNL8,6.297000000000001
POLR2L,6.296
POLE4,6.292000000000001
RPS10,6.29
SLC22A3,6.284
XRCC6,6.28
FOXP3,6.274
UQCC3,6.263
REEP6,6.261
NPL,6.26
BUD31,6.26
OR52B4,6.257000000000001
CHST7,6.255
GFER,6.254
CREB3,6.254
CCDC42,6.252000000000001
EIF2B3,6.25
PERM1,6.249
SKAP1,6.249
C12orf45,6.249
C10orf67,6.247999999999999
RSPH9,6.247999999999999
ZNF524,6.247000000000001
S100A5,6.2379999999999995
RRP7A,6.236000000000001
LCN6,6.232
WRAP53,6.232
TBX1,6.228
XKR7,6.227
CLTB,6.227
DPH7,6.225
TPD52L1,6.222
LGI1,6.222
ZNF576,6.218999999999999
NKX2-6,6.218999999999999
MAGEB1,6.218999999999999
DTNBP1,6.216
MCAT,6.21
ATP5F1D,6.209
C16orf92,6.205
CNPY2,6.202999999999999
RPLP1,6.2
FMO5,6.195
ENDOG,6.195
TCTEX1D4,6.193
CHCHD6,6.191
WDR70,6.191
RPS24,6.189
SERPINB6,6.185
CADPS2,6.178999999999999
WFDC3,6.178999999999999
UBL5,6.175
PTGER1,6.171
TMEM200B,6.17
PKP2,6.17
AMN,6.169
SCNM1,6.165
RPL24,6.164
RPS14,6.16
ANAPC11,6.159
PSMD4,6.157
RRH,6.156000000000001
TRMU,6.155
ZMAT5,6.153
RPL8,6.153
SHF,6.152
SERPINF2,6.151
CNIH3,6.151
C10orf53,6.15
EGFL7,6.149
TMEM187,6.149
DNAJC17,6.143
EBNA1BP2,6.141
SARNP,6.14
NPFF,6.14
DNAH2,6.122000000000001
ALKBH7,6.1160000000000005
TMEM53,6.111000000000001
PRR34,6.109
NACA2,6.103
PCDH8,6.102
RPL36,6.1
CUTA,6.099
FBL,6.095
MRPL24,6.086
NELFE,6.08
MAST3,6.071000000000001
PUF60,6.07
RPL37A,6.067
LYPD8,6.067
SDSL,6.066
PSMB3,6.058
PTRH1,6.058
NOXA1,6.055
MRM3,6.053999999999999
GDF5,6.053999999999999
ERCC1,6.051
RPL38,6.042999999999999
C20orf203,6.039
CISD3,6.035
TSPO2,6.03
LIN7B,6.028
LMAN2,6.028
CHAD,6.026
PEBP4,6.025
MAGEC3,6.024
ATP1B3,6.021
ARL6IP4,6.018
RPL27,6.015
ZNHIT1,6.013999999999999
PRSS23,6.013999999999999
VHLL,6.013
KRT16,6.01
SULT2B1,6.006
LYPD8,6.005
BLCAP,6.005
RUFY4,6.002999999999999
C3orf14,6.002999999999999
NMB,6.001
FLAD1,5.992000000000001
TMEM54,5.9879999999999995
RPRM,5.9879999999999995
TAL1,5.98
PELP1,5.974
TCF25,5.974
SF3B4,5.973
ATP5MPL,5.973
LENG1,5.972
GRIA2,5.959
CLTA,5.959
MFSD2B,5.955
TADA3,5.9510000000000005
PAOX,5.95
ADORA3,5.949
