DB_ID,DB_DR Name,TTD TargetID,Gene Name
DB05773,Trastuzumab emtansine,T14597,ERBB2
DB01590,Everolimus,T75243,MTOR
DB01217,Anastrozole,T13260,CYP19A1
DB00990,Exemestane,T13260,CYP19A1
DB01101,Capecitabine,T52227,Candi TMP1
DB00531,Cyclophosphamide,T86836,
DB01248,Docetaxel,T43189,
DB00997,Doxorubicin,T48945,TERT
DB00997,Doxorubicin,T96144,TOP2A; TOP2B
DB00445,Epirubicin,T96144,TOP2A; TOP2B
DB14962,Trastuzumab deruxtecan,T14597,ERBB2
DB08871,Eribulin,T43189,
DB00544,Fluorouracil,T48945,TERT
DB00544,Fluorouracil,T79249,TYMS
DB00544,Fluorouracil,T75890,DPYD
DB00544,Fluorouracil,T52227,Candi TMP1
DB00539,Toremifene,T89534,ESR1
DB00947,Fulvestrant,T89534,ESR1
DB01006,Letrozole,T13260,CYP19A1
DB00441,Gemcitabine,T38301,RRM2
DB00014,Goserelin,T18950,GNRH1
DB00072,Trastuzumab,T14597,ERBB2
DB04845,Ixabepilone,T43189,
DB09037,Pembrolizumab,T59631,PDCD1
DB01259,Lapatinib,T92494,EEF2K
DB01259,Lapatinib,T59328,EGFR
DB01259,Lapatinib,T14597,ERBB2
DB09074,Olaparib,T34867,
DB00351,Megestrol acetate,T22939,PGR
DB00563,Methotrexate,T19229,SLC46A1
DB00563,Methotrexate,T35465,SLC19A1
DB06366,Pertuzumab,T14597,ERBB2
DB00675,Tamoxifen,T89534,ESR1
DB11760,Talazoparib,T34867,
DB00570,Vinblastine,T28661,TUBB2A
