DB_ID,DB_DR Name,TTD TargetID,Gene Name
DB00112,Bevacizumab,T20761,VEGFA
DB00762,Irinotecan,T09826,TOP1
DB01101,Capecitabine,T52227,Candi TMP1
DB00002,Cetuximab,T59328,EGFR
DB05578,Ramucirumab,T80975,KDR
DB00526,Oxaliplatin,T86836,
DB00544,Fluorouracil,T48945,TERT
DB00544,Fluorouracil,T79249,TYMS
DB00544,Fluorouracil,T75890,DPYD
DB00544,Fluorouracil,T52227,Candi TMP1
DB06186,Ipilimumab,T15000,CTLA4
DB09037,Pembrolizumab,T59631,PDCD1
DB00432,Trifluridine,T52227,Candi TMP1
DB09035,Nivolumab,T59631,PDCD1
DB01269,Panitumumab,T59328,EGFR
DB08896,Regorafenib,T60631,RET
DB08896,Regorafenib,T57700,KIT
DB08896,Regorafenib,T80975,KDR
DB08885,Aflibercept,T70792,PGF
DB08885,Aflibercept,T20761,VEGFA
DB08885,Aflibercept,T30040,VEGFB
