DB_ID,DB_DR Name,TTD TargetID,Gene Name
DB01590,Everolimus,T75243,MTOR
DB00041,Aldesleukin,T61698,IL2
DB00112,Bevacizumab,T20761,VEGFA
DB11945,Avelumab,T99948,CD274
DB06626,Axitinib,T80975,KDR
DB08875,Cabozantinib,T40474,MET
DB08875,Cabozantinib,T80975,KDR
DB06186,Ipilimumab,T15000,CTLA4
DB09037,Pembrolizumab,T59631,PDCD1
DB09078,Lenvatinib,T80975,KDR
DB00398,Sorafenib,T59328,EGFR
DB00398,Sorafenib,T59102,PDGFRB
DB00398,Sorafenib,T57700,KIT
DB00398,Sorafenib,T80975,KDR
DB09035,Nivolumab,T59631,PDCD1
DB01268,Sunitinib,T80975,KDR
DB06287,Temsirolimus,T75243,MTOR
DB00305,Mitomycin,T86836,
DB00970,Dactinomycin,T86836,
DB00997,Doxorubicin,T48945,TERT
DB00997,Doxorubicin,T96144,TOP2A; TOP2B
DB00541,Vincristine,T68536,
