DB_ID,DB_DR Name,TTD TargetID,Gene Name
DB01280,Nelarabine,T30418,
DB14730,Calaspargase pegol,T78277,ASRGL1
DB05889,Inotuzumab ozogamicin,T37539,CD22
DB09052,Blinatumomab,T56365,CD19
DB09052,Blinatumomab,T60345,
DB00694,Daunorubicin,T86836,
DB00694,Daunorubicin,T21112,
DB00631,Clofarabine,T34743,
DB00631,Clofarabine,T73342,RIR
DB00531,Cyclophosphamide,T86836,
DB00987,Cytarabine,T37847,HSV UL30
DB01254,Dasatinib,T38284,BCR-ABL1
DB01254,Dasatinib,T17980,FYN
DB01254,Dasatinib,T12499,LCK
DB01254,Dasatinib,T85943,SRC
DB01234,Dexamethasone,T40016,NR3C1
DB00997,Doxorubicin,T48945,TERT
DB00997,Doxorubicin,T96144,TOP2A; TOP2B
DB00619,Imatinib,T33765,MCL1
DB00619,Imatinib,T38284,BCR-ABL1
DB00619,Imatinib,T52624,
DB00619,Imatinib,T57700,KIT
DB08901,Ponatinib,T74312,FLT3
DB08901,Ponatinib,T60631,RET
DB08901,Ponatinib,T63505,ABL1
DB08901,Ponatinib,T57700,KIT
DB13881,Tisagenlecleucel,T56365,CD19
DB00541,Vincristine,T68536,
DB01033,Mercaptopurine,T40111,IMPDH1
DB01033,Mercaptopurine,T97713,PPAT
DB00563,Methotrexate,T19229,SLC46A1
DB00563,Methotrexate,T35465,SLC19A1
DB00635,Prednisone,T40016,NR3C1
DB01169,Arsenic trioxide,T78429,IKBKB
DB00928,Azacitidine,T92308,
DB00056,Gemtuzumab ozogamicin,T38950,CD33
DB12141,Gilteritinib,T82383,AXL
DB12141,Gilteritinib,T74312,FLT3
DB01177,Idarubicin,T96144,TOP2A; TOP2B
DB14568,Ivosidenib,T69563,IDH1
DB06595,Midostaurin,T74312,FLT3
DB06595,Midostaurin,T47107,PRKCG
DB01204,Mitoxantrone,T96144,TOP2A; TOP2B
DB14731,Tagraxofusp,T71377,IL3RA
DB11703,Acalabrutinib,T25005,BTK
DB00087,Alemtuzumab,T76630,CD52
DB06650,Ofatumumab,T73215,MS4A1
DB00291,Chlorambucil,T21112,
DB01073,Fludarabine,T03661,ADA
DB08935,Obinutuzumab,T73215,MS4A1
DB09053,Ibrutinib,T25005,BTK
DB09054,Idelalisib,T67849,PIK3CD
DB00073,Rituximab,T73215,MS4A1
DB06616,Bosutinib,T85943,SRC
DB06616,Bosutinib,T63505,ABL1
DB01008,Busulfan,T86836,
DB01005,Hydroxyurea,T38301,RRM2
DB04868,Nilotinib,T38284,BCR-ABL1
DB04865,Omacetaxine mepesuccinate,T78937,
DB00242,Cladribine,T03661,ADA
