DB_ID,DB_DR Name,TTD TargetID,Gene Name
DB01590,Everolimus,T75243,MTOR
DB11363,Alectinib,T56418,ALK
DB00642,Pemetrexed,T52227,Candi TMP1
DB12267,Brigatinib,T56418,ALK
DB00112,Bevacizumab,T20761,VEGFA
DB00958,Carboplatin,T86836,
DB14707,Cemiplimab,T59631,PDCD1
DB09063,Ceritinib,T56418,ALK
DB08865,Crizotinib,T90848,
DB08865,Crizotinib,T56418,ALK
DB08865,Crizotinib,T40474,MET
DB08865,Crizotinib,T69128,ROS1
DB05578,Ramucirumab,T80975,KDR
DB08912,Dabrafenib,T99089,BRAF
DB11963,Dacomitinib,T14597,ERBB2
DB11963,Dacomitinib,T92057,ERBB4
DB11963,Dacomitinib,T59328,EGFR
DB01248,Docetaxel,T43189,
DB00997,Doxorubicin,T48945,TERT
DB00997,Doxorubicin,T96144,TOP2A; TOP2B
DB11714,Durvalumab,T99948,CD274
DB00530,Erlotinib,T59328,EGFR
DB00317,Gefitinib,T59328,EGFR
DB00441,Gemcitabine,T38301,RRM2
DB06186,Ipilimumab,T15000,CTLA4
DB09037,Pembrolizumab,T59631,PDCD1
DB12130,Lorlatinib,T56418,ALK
DB12130,Lorlatinib,T69128,ROS1
DB08911,Trametinib,T23003,
DB00563,Methotrexate,T19229,SLC46A1
DB00563,Methotrexate,T35465,SLC19A1
DB09559,Necitumumab,T59328,EGFR
DB09035,Nivolumab,T59631,PDCD1
DB00361,Vinorelbine,T43189,
DB00773,Etoposide,T96144,TOP2A; TOP2B
DB01030,Topotecan,T09826,TOP1
