DB_ID,DB_DR Name,TTD TargetID,Gene Name
DB01042,Melphalan,T86836,
DB00188,Bortezomib,T27602,PRSS1
DB00188,Bortezomib,T57361,
DB00188,Bortezomib,T69707,
DB08889,Carfilzomib,T69707,
DB00531,Cyclophosphamide,T86836,
DB09331,Daratumumab,T10877,CD38
DB00997,Doxorubicin,T48945,TERT
DB00997,Doxorubicin,T96144,TOP2A; TOP2B
DB06317,Elotuzumab,T98052,SLAMF7
DB06603,Panobinostat,T68547,HDAC1
DB00480,Lenalidomide,T20178,TNF
DB06809,Plerixafor,T96079,CXCR4
DB08910,Pomalidomide,T29064,
DB01041,Thalidomide,T20178,TNF
