,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB12001,Abemaciclib,Abemaciclib,Abemaciclib
1,DB01229,Abraxane (Paclitaxel Albumin-stabilized Nanoparticle Formulation),Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
2,DB05773,Ado-Trastuzumab Emtansine,Trastuzumab emtansine,"Ado-trastuzumab,Ado-trastuzumab emtansine,T-DM1,Trastuzumab emtansine,Trastuzumab-DM1,Trastuzumab-MCC-DM1"
3,DB01590,Afinitor (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
4,DB01590,Afinitor Disperz (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
5,DB12015,Alpelisib,Alpelisib,Alpelisib
6,DB01217,Anastrozole,Anastrozole,"Anastrozol,Anastrozole,α,α,α',α'-Tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-m-benzenediacetonitrile"
7,DB00282,Aredia (Pamidronate Disodium),Pamidronic acid,"Pamidronate,Pamidronic acid"
8,DB01217,Arimidex (Anastrozole),Anastrozole,"Anastrozol,Anastrozole,α,α,α',α'-Tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-m-benzenediacetonitrile"
9,DB00990,Aromasin (Exemestane),Exemestane,"6-methyleneandrosta-1,4-diene-3,17-dione,Exemestane"
10,DB11595,Atezolizumab,Atezolizumab,Atezolizumab
11,DB01101,Capecitabine,Capecitabine,"(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester,Capecitabine,Pentyl [1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-2-oxo-1,2-dihydropyrimidin-4-yl]carbamate,pentyl 1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinecarbamate"
12,DB00531,Cyclophosphamide,Cyclophosphamide,"(+-)-Cyclophosphamide,(RS)-Cyclophosphamide,2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide,Anhydrous cyclophosphamide,Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester,Ciclofosfamide,Cyclophosphamide anhydrous,Cytophosphane,N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"
13,DB01248,Docetaxel,Docetaxel,"Docetaxel,Docetaxel anhydrous,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol,TXL"
14,DB00997,Doxorubicin Hydrochloride,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
15,DB00445,Ellence (Epirubicin Hydrochloride),Epirubicin,"4'-Epiadriamycin,Epiadriamycin,Epirubicin"
16,DB14962,Enhertu (Fam-Trastuzumab Deruxtecan-nxki),Trastuzumab deruxtecan,"fam-trastuzumab deruxtecan-nxki,Trastuzumab deruxtecan"
17,DB00445,Epirubicin Hydrochloride,Epirubicin,"4'-Epiadriamycin,Epiadriamycin,Epirubicin"
18,DB08871,Eribulin Mesylate,Eribulin,Eribulin
19,DB01590,Everolimus,Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
20,DB00990,Exemestane,Exemestane,"6-methyleneandrosta-1,4-diene-3,17-dione,Exemestane"
21,DB00544,5-FU (Fluorouracil Injection),Fluorouracil,"5-Fluoropyrimidine-2,4-dione,5-Fluorouracil,5-Fluracil,5-FU,Fluoro Uracil,Fluouracil"
22,DB14962,Fam-Trastuzumab Deruxtecan-nxki,Trastuzumab deruxtecan,"fam-trastuzumab deruxtecan-nxki,Trastuzumab deruxtecan"
23,DB00539,Fareston (Toremifene),Toremifene,Toremifene
24,DB00947,Faslodex (Fulvestrant),Fulvestrant,"(7α,17β)-7-{9-[(4,4,5,5,5-pentafluoropentyl)sulfinyl]nonyl}estra-1(10),2,4-triene-3,17-diol"
25,DB01006,Femara (Letrozole),Letrozole,"Letrozol,Letrozole"
26,DB00544,Fluorouracil Injection,Fluorouracil,"5-Fluoropyrimidine-2,4-dione,5-Fluorouracil,5-Fluracil,5-FU,Fluoro Uracil,Fluouracil"
27,DB00947,Fulvestrant,Fulvestrant,"(7α,17β)-7-{9-[(4,4,5,5,5-pentafluoropentyl)sulfinyl]nonyl}estra-1(10),2,4-triene-3,17-diol"
