,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB01229,Abraxane (Paclitaxel Albumin-stabilized Nanoparticle Formulation),Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
1,DB08916,Afatinib Dimaleate,Afatinib,
2,DB01590,Afinitor (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
3,DB01590,Afinitor Disperz (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
4,DB11363,Alecensa (Alectinib),Alectinib,"9-ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-benzo[b]carbazole-3-carbonitrile,Alectinib"
5,DB11363,Alectinib,Alectinib,"9-ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-benzo[b]carbazole-3-carbonitrile,Alectinib"
6,DB00642,Alimta (Pemetrexed Disodium),Pemetrexed,Pemetrexed
7,DB12267,Alunbrig (Brigatinib),Brigatinib,Brigatinib
8,DB11595,Atezolizumab,Atezolizumab,Atezolizumab
9,DB00112,Avastin (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
10,DB00112,Bevacizumab,Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
11,DB12267,Brigatinib,Brigatinib,Brigatinib
12,DB11791,Capmatinib Hydrochloride,Capmatinib,Capmatinib
13,DB00958,Carboplatin,Carboplatin,"Carboplatin,CBDCA,cis-(1,1-cyclobutanedicarboxylato)diammineplatinum(II),cis-diammine(1,1-cyclobutanedicarboxylato)platinum,cis-diammine(1,1-cyclobutanedicarboxylato)platinum(II)"
14,DB14707,Cemiplimab-rwlc,Cemiplimab,Cemiplimab-rwlc
