,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB11703,Acalabrutinib,Acalabrutinib,
1,DB08870,Adcetris (Brentuximab Vedotin),Brentuximab vedotin,"Brentuximab,Brentuximab vedotin,Brentuximab vedotin brentuximab,cAC10-vcMMAE,Moab, chimeric, SGN-30, to CD30 antigen,Monoclonal antibody SGN-30"
2,DB12483,Aliqopa (Copanlisib Hydrochloride),Copanlisib,Copanlisib
3,DB01280,Arranon (Nelarabine),Nelarabine,"2-Amino-9-beta-D-arabinofuranosyl-6-methoxy-9H-purine,Nelarabine,Nelzarabine"
4,DB13915,Axicabtagene Ciloleucel,Axicabtagene ciloleucel,Autologous T cells transduced with retroviral vector encoding an anti-CD-19 CD28/CD3-zeta chimeric antigen receptor
5,DB05015,Beleodaq (Belinostat),Belinostat,Belinostat
6,DB05015,Belinostat,Belinostat,Belinostat
7,DB06769,Bendamustine Hydrochloride,Bendamustine,"Bendamustine,Ribomustine"
8,DB06769,Bendeka (Bendamustine Hydrochloride) ,Bendamustine,"Bendamustine,Ribomustine"
9,DB00262,BiCNU (Carmustine),Carmustine,"BCNU,bis-chloroethylnitrosourea,Bischloroethyl nitrosourea,N,N'-Bis(2-chloroethyl)-N-nitrosourea"
10,DB00290,Bleomycin Sulfate,Bleomycin,"Bleocin,Bleomicin,Bleomycin"
11,DB00188,Bortezomib,Bortezomib,"[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid,Bortezomib,N-[(1R)-1-(DIHYDROXYBORYL)-3-methylbutyl]-N-(pyrazin-2-ylcarbonyl)-L-phenylalaninamide"
12,DB08870,Brentuximab Vedotin,Brentuximab vedotin,"Brentuximab,Brentuximab vedotin,Brentuximab vedotin brentuximab,cAC10-vcMMAE,Moab, chimeric, SGN-30, to CD30 antigen,Monoclonal antibody SGN-30"
13,DB15699,Brexucabtagene Autoleucel,Brexucabtagene autoleucel,Brexucabtagene autoleucel
14,DB15035,Brukinsa (Zanubrutinib),Zanubrutinib,Zanubrutinib
15,DB11703,Calquence (Acalabrutinib),Acalabrutinib,
16,DB00262,Carmustine,Carmustine,"BCNU,bis-chloroethylnitrosourea,Bischloroethyl nitrosourea,N,N'-Bis(2-chloroethyl)-N-nitrosourea"
17,DB00291,Chlorambucil,Chlorambucil,"4-(p-bis(beta-chloroethyl)aminophenyl)butyric acid,4-(p-bis(β-chloroethyl)aminophenyl)butyric acid,4-[p-[bis(2-chloroethyl)amino]phenyl]butyric acid,Ambochlorin,Chlorambucil,Chloraminophen,gamma-[p-di(2-chloroethyl)aminophenyl]butyric acid,N,N-di-2-chloroethyl-gamma-p-aminophenylbutyric acid,N,N-di-2-chloroethyl-γ-p-aminophenylbutyric acid,Phenylbutyric acid nitrogen mustard,γ-[p-di(2-chloroethyl)aminophenyl]butyric acid"
18,DB12483,Copanlisib Hydrochloride,Copanlisib,Copanlisib
19,DB11952,Copiktra (Duvelisib),Duvelisib,Duvelisib
20,DB08865,Crizotinib,Crizotinib,(R)-crizotinib
21,DB00531,Cyclophosphamide,Cyclophosphamide,"(+-)-Cyclophosphamide,(RS)-Cyclophosphamide,2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide,Anhydrous cyclophosphamide,Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester,Ciclofosfamide,Cyclophosphamide anhydrous,Cytophosphane,N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"
22,DB00004,Denileukin Diftitox,Denileukin diftitox,"Denileukin,Interleukin-2/diptheria toxin fusion protein"
23,DB01234,Dexamethasone,Dexamethasone,"1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone,1-Dehydro-16α-methyl-9α-fluorohydrocortisone,16alpha-Methyl-9alpha-fluoro-1-dehydrocortisol,16α-Methyl-9α-fluoro-1-dehydrocortisol,9alpha-Fluoro-16alpha-methylprednisolone,9α-Fluoro-16α-methylprednisolone,Dexamethasone"
24,DB00997,Doxorubicin Hydrochloride,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
25,DB11952,Duvelisib,Duvelisib,Duvelisib
26,DB06813,Folotyn (Pralatrexate),Pralatrexate,"(2S)-2-((4-((1RS)-1-((2,4-Diaminopteridin-6-yl)methyl)but-3-ynyl)benzoyl)amino)pentanedioic acid,(2S)-2-({4-[1-(2,4-diaminopteridin-6-yl)pent-4-yn-2-yl]benzoyl}amino)pentanedioic acid,10-Propargyl-10-deazaaminopterin,N-(4-(1-((2,4-Diamino-6-pteridinyl)methyl)-3-butynyl)benzoyl)-L-glutamic acid,PDX"
27,DB08935,Gazyva (Obinutuzumab),Obinutuzumab,Afutuzumab
28,DB00078,Ibritumomab Tiuxetan,Ibritumomab tiuxetan,"Ibritumomab,mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)"
29,DB09053,Ibrutinib,Ibrutinib,"1-[(3R)-3-[4-Amino-3-(4-phenoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-1-yl]piperidin-1-yl]prop-2-en-1-one"
