,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB01229,Abraxane (Paclitaxel Albumin-stabilized Nanoparticle Formulation),Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
1,DB01590,Afinitor (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
2,DB00530,Erlotinib Hydrochloride,Erlotinib,"[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine,Erlotinib"
3,DB01590,Everolimus,Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
4,DB00544,5-FU (Fluorouracil Injection),Fluorouracil,"5-Fluoropyrimidine-2,4-dione,5-Fluorouracil,5-Fluracil,5-FU,Fluoro Uracil,Fluouracil"
5,DB00544,Fluorouracil Injection,Fluorouracil,"5-Fluoropyrimidine-2,4-dione,5-Fluorouracil,5-Fluracil,5-FU,Fluoro Uracil,Fluouracil"
6,DB00441,Gemcitabine Hydrochloride,Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
7,DB00441,Gemzar (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
8,DB00441,Infugem (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
9,DB00762,Irinotecan Hydrochloride Liposome,Irinotecan,"(+)-Irinotecan,Irinotecan,Irinotecan lactone"
10,DB09074,Lynparza (Olaparib),Olaparib,"4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2H)-one,Olaparib"
11,DB00305,Mitomycin,Mitomycin,"7-Amino-9alpha-methoxymitosane,Ametycine,Mitamycin,Mitocin-C,Mitomycin,Mitomycin C,MMC"
12,DB09074,Olaparib,Olaparib,"4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2H)-one,Olaparib"
13,DB00762,Onivyde (Irinotecan Hydrochloride Liposome),Irinotecan,"(+)-Irinotecan,Irinotecan,Irinotecan lactone"
14,DB01229,Paclitaxel Albumin-stabilized Nanoparticle Formulation,Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
15,DB01268,Sunitinib Malate,Sunitinib,
16,DB01268,Sutent (Sunitinib Malate),Sunitinib,
17,DB00530,Tarceva (Erlotinib Hydrochloride),Erlotinib,"[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine,Erlotinib"
