,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
0,DB01042,Alkeran for Injection (Melphalan Hydrochloride),Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
1,DB01042,Alkeran Tablets (Melphalan),Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
2,DB00282,Aredia (Pamidronate Disodium),Pamidronic acid,"Pamidronate,Pamidronic acid"
3,DB15719,Belantamab Mafodotin-blmf,Belantamab mafodotin,"Belantamab mafodotin,Belantamab Mafodotin-blmf"
4,DB00262,BiCNU (Carmustine),Carmustine,"BCNU,bis-chloroethylnitrosourea,Bischloroethyl nitrosourea,N,N'-Bis(2-chloroethyl)-N-nitrosourea"
5,DB15719,Blenrep (Belantamab Mafodotin-blmf),Belantamab mafodotin,"Belantamab mafodotin,Belantamab Mafodotin-blmf"
6,DB00188,Bortezomib,Bortezomib,"[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid,Bortezomib,N-[(1R)-1-(DIHYDROXYBORYL)-3-methylbutyl]-N-(pyrazin-2-ylcarbonyl)-L-phenylalaninamide"
7,DB08889,Carfilzomib,Carfilzomib,Carfilzomib
8,DB00262,Carmustine,Carmustine,"BCNU,bis-chloroethylnitrosourea,Bischloroethyl nitrosourea,N,N'-Bis(2-chloroethyl)-N-nitrosourea"
9,DB00531,Cyclophosphamide,Cyclophosphamide,"(+-)-Cyclophosphamide,(RS)-Cyclophosphamide,2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide,Anhydrous cyclophosphamide,Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester,Ciclofosfamide,Cyclophosphamide anhydrous,Cytophosphane,N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide"
10,DB09331,Daratumumab,Daratumumab,Daratumumab
11,DB06205,Daratumumab and Hyaluronidase-fihj,Hyaluronidase (human recombinant),"Hyaluronidase (human recombinant),Hyaluronidase human recombinant,Hyaluronidase recombinant human,Hyaluronidase, human,Recombinant human hyaluronidase,Vorhyaluronidase alfa"
12,DB09331,Darzalex (Daratumumab),Daratumumab,Daratumumab
13,DB09331,Darzalex Faspro (Daratumumab and Hyaluronidase-fihj),Daratumumab,Daratumumab
14,DB00997,Doxil (Doxorubicin Hydrochloride Liposome),Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
15,DB00997,Doxorubicin Hydrochloride Liposome,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
16,DB06317,Elotuzumab,Elotuzumab,"HuLuc63,Immunoglobulin G1, anti-(human protein CS1) (human-mouse HuLuc63 heavy chain), disulfide with human-mouse HuLuc63 kappa-chain, dimer"
17,DB06317,Empliciti (Elotuzumab),Elotuzumab,"HuLuc63,Immunoglobulin G1, anti-(human protein CS1) (human-mouse HuLuc63 heavy chain), disulfide with human-mouse HuLuc63 kappa-chain, dimer"
18,DB01042,Evomela (Melphalan Hydrochloride),Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
19,DB06603,Farydak (Panobinostat Lactate),Panobinostat,"(2E)-N-hydroxy-3-[4-({[2-(2-methyl-1H-indol-3-yl)ethyl]amino}methyl)phenyl]acrylamide,Panobinostat"
20,DB14811,Isatuximab-irfc,Isatuximab,"Isatuximab,isatuximab-irfc"
21,DB09570,Ixazomib Citrate,Ixazomib,Ixazomib
22,DB08889,Kyprolis (Carfilzomib),Carfilzomib,Carfilzomib
23,DB00480,Lenalidomide,Lenalidomide,"1-oxo-2-(2,6-dioxopiperidin-3-yl)-4-aminoisoindoline,3-(4-Amino-1-oxoisoindolin-2-yl)piperidine-2,6-dione,Lenalidomide"
24,DB01042,Melphalan,Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
25,DB01042,Melphalan Flufenamide Hydrochloride,Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
26,DB01042,Melphalan Hydrochloride,Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
27,DB06809,Mozobil (Plerixafor),Plerixafor,Plerixafor
28,DB09570,Ninlaro (Ixazomib Citrate),Ixazomib,Ixazomib
29,DB00282,Pamidronate Disodium,Pamidronic acid,"Pamidronate,Pamidronic acid"
30,DB06603,Panobinostat Lactate,Panobinostat,"(2E)-N-hydroxy-3-[4-({[2-(2-methyl-1H-indol-3-yl)ethyl]amino}methyl)phenyl]acrylamide,Panobinostat"
