gene	uniprot_accession
CD274	Q9NZQ7
FGFR1	P11362
FGFR2	P21802
FGFR3	P22607
FGFR4	P22455
RET	P07949
CSF1R	P07333
PDGFRA	P16234
PDGFRB	P09619
KIT	P10721
KDR	P35968
MPG	P29372
A2M	P01023
TF	P02787
ATOX1	O00244
TOP2A	P11388
NOLC1	Q14978
TERT	O14746
TOP2B	Q02880
NECTIN4	Q96NY8
PDCD1	Q15116
TACSTD2	P09758
TOP1	P11387
FUBP1	Q96AE4
CDK4	P11802
CDK6	Q00534
TUBB1	Q9H4B7
BCL2	P10415
MAP4	P27816
MAP2	P11137
MAPT	P10636
NR1I2	O75469
ERBB2	P04626
MTOR	P42345
PIK3CA	P42336
CYP19A1	P11511
FDPS	P14324
GGPS1	O95749
CASP3	P42574
CASP9	P55211
TYMS	P04818
FCGR1A	P12314
DPYD	Q12882
ESR1	P03372
SHBG	P04278
RRM1	P23921
CMPK1	P30085
RRM2	P31350
LHCGR	P22888
GNRHR	P30968
GNRH1	P01148
TUBB3	Q13509
EGFR	P00533
EEF2K	O00418
PARP1	P09874
PARP2	Q9UGN5
PARP3	Q9Y6F1
PGR	P06401
NR3C1	P04150
DHFR	P00374
ATIC	P31939
SLC46A1	Q96NT5
SLC19A1	P41440
ESR2	Q92731
EBP	Q15125
PRKCA	P17252
PRKCB	P05771
PRKCD	Q05655
PRKCE	Q02156
PRKCG	P05129
PRKCI	P41743
PRKCQ	Q04759
PRKCZ	Q05513
AR	P10275
KCNH2	Q12809
ESRRG	P62508
MAPK8	P45983
ERBB3	P21860
TUBA1A	Q71U36
TUBB	P07437
TUBD1	Q9UJT1
TUBG1	P23258
TUBE1	Q9UJT0
JUN	P05412
TUBB2A	Q13885
TNFSF11	O14788
VEGFA	P15692
C1QA	P02745
C1QB	P02746
C1QC	P02747
FCGR3A	P08637
FCGR2A	P12318
FCGR2B	P31994
FCGR2C	P31995
TOP1MT	Q969P6
FCGR3B	O75015
CTLA4	P16410
FLT1	P17948
FLT4	P35916
TEK	Q02763
DDR2	Q16832
NTRK1	P04629
EPHA2	P29317
RAF1	P04049
BRAF	P15056
MAPK11	Q15759
FRK	P42685
ABL1	P00519
PGF	P49763
VEGFB	P49765
IL2RB	P14784
IL2RA	P01589
IL2RG	P31785
IL2	P60568
MET	P08581
MET	Q9NWH9
FLT3	P36888
ITK	Q08881
FGF1	P05230
SH2B3	Q9UQQ2
TUBA4A	P68366
POLA1	P09884
ASRGL1	Q7L266
CD22	P20273
CD19	P15391
CD3D	P04234
RIR	O00213
POLB	P06746
SRC	P12931
LCK	P06239
YES1	P07947
STAT5B	P51692
ABL2	P42684
FYN	P06241
BTK	Q06187
BCR	P11274
CSK	P41240
EPHA5	P54756
EPHB4	P54760
FGR	P09769
HSPA8	P11142
LYN	P07948
ZAK	Q9NYL2
MAPK14	Q16539
PPAT	Q06203
NR0B1	P51843
ANXA1	P04083
NOS2	P35228
NOS2	P60321
DDR1	Q08345
MCL1	Q07820
HPRT1	P00492
IMPDH1	P20839
IMPDH2	P12268
IKBKB	O14920
TXNRD1	Q16881
CCND1	P24385
MAPK3	P27361
MAPK1	P28482
AKT1	P31749
CDKN1A	P38936
HDAC1	Q13547
PML	P29590
DNMT1	P26358
SMO	Q99835
SMO	Q9NWM0
IDH2	P48735
CD33	P20138
HTR1A	P08908
HTR1B	P28222
HTR1D	P28221
HTR1E	P28566
HTR1F	P30939
HTR2A	P28223
HTR2B	P41595
HTR2C	P28335
HTR3A	P46098
HTR3B	O95264
HTR3C	Q8WXA8
HTR3D	Q70Z44
HTR3E	A5X5Y0
HTR4	Q13639
HTR6	P50406
HTR7	P34969
AXL	P30530
ALK	Q9UM73
IDH1	O75874
IL3RA	P26951
ARL2	P36404
CD52	P31358
MS4A1	P11836
PIK3CG	P48736
PIK3CD	O00329
DCK	P27707
ADA	P00813
TGFB1	P01137
HCK	P08631
CDK2	P24941
MAP2K1	Q02750
MAP2K2	P36507
MAP3K2	Q9Y2U5
CAMK2G	Q13555
RPL3	P39023
RRM2B	Q7LG56
POLE	Q07864
POLE2	P56282
POLE3	Q9NRF9
POLE4	Q9NR33
PNP	P00491
PNP	P01298
IFNAR2	P48551
IFNAR1	P17181
EEF2	P13639
ERBB4	Q15303
GART	P22102
IGF1R	P08069
INSR	P06213
ROS1	P08922
SIK1	P57059
NEK11	Q8NG66
LIMK1	P53667
NTRK2	Q16620
NTRK3	Q16288
JAK2	O60674
TNK2	Q07912
JAK1	P23458
TNFRSF8	P28908
HDAC10	Q969S8
HDAC11	Q96DB2
HDAC2	Q92769
HDAC3	O15379
HDAC4	P56524
HDAC5	Q9UQL6
HDAC6	Q9UBN7
HDAC7	Q8WUI4
HDAC8	Q9BY41
HDAC7,HDAC9	Q9UKV0
GSR	P00390
LIG1	P18858
LIG1	Q96JA1
LIG3	P49916
LIG3	Q6UXM1
PSMB5	P28074
PSMB1	P20618
PRSS1	P07477
BMX	P51813
TEC	P42680
NR4A3,TEC	Q92570
BLK	P51451
JAK3	P52333
PTK6	Q13882
TXK	P42681
PDF	Q99988
PDF	Q9HBH1
ABCC1	P33527
CRBN	Q96SW2
CDH5	P33151
PTGS2	P35354
TNF	P01375
CCR4	P51679
CCR4	Q9UK39
CCR4	Q9ULM6
CXCR4	P61073
CD79B	P40259
XPO1	O14980
ACHE	P22303
CHRNA7	P36544
BCHE	P06276
EZH2	Q15910
EZH1	Q92800
ATP1A1	P05023
ADRB1	P08588
