Gene,TCGA-HZ-A9TJ-06A-11R-A41B-07,TCGA-HZ-A9TJ-01A-11R-A41I-07,TCGA-HZ-7289-01A-11R-2156-07,TCGA-US-A77E-01A-11R-A32O-07,TCGA-YH-A8SY-01A-11R-A37L-07,TCGA-HZ-A77Q-01A-11R-A36G-07,TCGA-RB-A7B8-01A-12R-A33R-07,TCGA-HZ-A4BK-01A-11R-A26U-07,TCGA-HZ-A77P-01A-11R-A33R-07,TCGA-3A-A9IV-01A-11R-A41B-07,TCGA-2J-AABH-01A-21R-A41B-07,MAX,AVG,MED,MIN
AP1G1,2283.2843,2472.5936,2884.4746,2210.4803,1556.6589,1792.0094,1698.9247,1974.4455,1834.3558,1796.5483,2410.2787,2884.4746,2083.095827,1974.4455,1556.6589
AGT,294.4063,1086.5207,234.7099,645.4148,235.9813,1096.3572,528.0765,4216.0077,1554.4479,261895.3332,1394.5993,261895.3332,24834.71407,1086.5207,234.7099
AOAH,82.4338,77.895,7.8411,18.3406,32.7103,249.7062,81.8399,607.0395,187.1166,63.4208,90.5923,607.0395,136.2669182,81.8399,7.8411
APOF,0,0.5728,0.5227,0,0.5841,0,1.1947,0,0.3834,104.953,0,104.953,9.837336364,0.3834,0
APCS,0,645.4976,0,835.8079,1.1682,0,7.1685,3652.8447,809.816,1.1225,722.561,3652.8447,606.9078545,7.1685,0
PHOX2A,900.229,0.5728,0,0.4367,0,0,1.1947,1.4465,16.4877,0.5612,2.6132,900.229,83.95834545,0.5728,0
ATOH1,0,0.5728,975.4313,3.4934,0.5841,3.5253,0,3.3751,98.9264,0,0,975.4313,98.71894545,0.5841,0
ATP1A3,1158.8704,5.1548,6.2729,3.9301,12.8505,17.6263,35.8423,41.4658,139.5706,7533.6046,30.9233,7533.6046,816.9192364,30.9233,3.9301
ATP2B3,253.8436,0.5728,1.0455,0.8734,1.7523,0.5875,1.7921,0.9643,11.1196,27.5011,1.3066,253.8436,27.39625455,1.3066,0.5728
BMPR1B,151.7828,155.2172,339.2577,228.3843,114.486,166.8625,92.5926,143.2015,452.454,38.1647,67.9443,452.454,177.3043273,151.7828,38.1647
BRAF,87.6676,102.5236,171.4584,121.8341,82.3598,149.8237,123.0585,95.4677,87.8067,199.8036,150.6969,199.8036,124.7727818,121.8341,82.3598
C4BPA,0.8723,167.2452,1094.093,1945.8515,4.0888,78.7309,19.7133,271.9383,634.9693,24.6948,763.9373,1945.8515,455.1031545,167.2452,0.8723
C8A,0,4.5821,0,0,0,0,23.8949,3.8573,2.684,101.5855,3.0488,101.5855,12.69569091,2.684,0
DDR1,10364.4096,13347.5377,8721.9028,13618.3406,5518.1075,4590.4818,6837.5149,6529.4118,5691.7178,11928.7218,12364.1115,13618.3406,9046.568891,8721.9028,4590.4818
CAPG,10336.9316,12683.1392,2143.7533,5200,4605.1402,6286.7215,10250.2987,7719.3828,3472.7761,319.349,8253.9199,12683.1392,6479.2193,6286.7215,319.349
CASQ2,2.6169,34.9382,1.0455,6.9869,2.9206,132.1974,5.3763,8.6789,1755.7515,2.8062,9.5819,1755.7515,178.4454818,6.9869,1.0455
SCARB1,20691.3096,642.061,817.0413,860.6987,1169.9766,805.5229,949.2234,1151.8804,763.4202,1751.0874,864.1115,20691.3096,2769.666636,864.1115,642.061
CHRND,0.4362,0,0,0,0,0,0,0,0,0,0.4355,0.4362,0.079245455,0,0
CLCA1,0,0.5728,85985.3633,17.9039,2.3364,0.5875,0,10.1254,50.2301,26.3786,0.8711,85985.3633,7826.760827,2.3364,0
CCR6,15.597,36.4503,49.9007,29.8603,38.0958,178.913,159.6655,178.3028,107.013,16.2817,73.3449,178.913,80.31136364,49.9007,15.597
CRYGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP2A7,0.4362,0,61.6832,0.8734,1.1682,0,0,0.4822,3.4509,0,0,61.6832,6.190372727,0.4362,0
CYP11A1,11317.8497,3.4365,0,7.4236,30.9579,24.0893,17.3238,1.4465,15.7209,44.3384,4.7909,11317.8497,1042.488864,15.7209,0
CYP11B1,17629.0481,0,0,0.4367,0,0,0,0,0,0,0,17629.0481,1602.680436,0,0
CYP11B2,163.9952,0,0,0,0.5841,0,0,0,0.3834,0,0,163.9952,14.99660909,0,0
CYP17A1,28938.7286,0.5728,0,2.4541,1.7523,0.5875,0.7228,1.162,0.3834,0.5612,0.4355,28938.7286,2631.5782,0.5875,0
CYP21A2,23179.2825,43.3291,1.6937,47.4192,6.9042,32.4853,30.8184,49.7493,122.4617,23.7912,33.5192,23179.2825,2142.859436,33.5192,1.6937
DBH,5544.8697,0,0.5227,5.2402,5.257,2.9377,8.9606,4.8216,4.2178,0,3.4843,5544.8697,507.3010545,4.2178,0
DHCR7,5680.0785,2673.0586,1431.7825,1161.5721,837.0327,662.7497,1126.0454,516.8756,767.2546,693.7,2894.5993,5680.0785,1676.795364,1126.0454,516.8756
DUSP1,7340.5299,1045.2822,872.9744,4179.476,10135.514,13299.6475,7246.7145,4200.5786,4824.3865,2457.6961,5632.8397,13299.6475,5566.876309,4824.3865,872.9744
EGFR,387.2773,779.4999,934.6576,700.3799,434.7021,443.5899,319.552,677.4156,610.4179,248.6151,1123.1707,1123.1707,605.3889091,610.4179,248.6151
ENO2,1307.1639,795.56,910.0889,1792.1397,2777.4533,809.6357,1185.1852,641.7551,1108.5123,3607.1278,1106.7073,3607.1278,1458.302655,1108.5123,641.7551
STOM,2803.6201,1955.3937,3923.6801,4796.5066,3046.729,5229.7297,3213.859,4084.8602,10521.4724,1613.0209,2547.9094,10521.4724,3976.071009,3213.859,1613.0209
FGB,0,115.697,3.6592,96.0699,9.3458,2.9377,73.4767,137.8978,42.1779,38787.7087,120.6446,38787.7087,3580.874118,73.4767,0
FGFR1,857.0494,1034.3998,750.1307,2431.0044,4634.3458,3183.3137,2342.2939,1603.1823,5134.5859,4424.302,1447.2997,5134.5859,2531.082509,2342.2939,750.1307
FGFR3,307.491,835.0802,166.2311,1092.5764,706.1916,166.8625,1311.828,1593.5391,994.6319,25.8173,1257.4042,1593.5391,768.8775727,835.0802,25.8173
FGFR2,207.6109,584.2125,656.0376,607.8603,339.9533,578.7309,499.4026,878.4957,1850.0767,45.4609,359.7561,1850.0767,600.6906818,578.7309,45.4609
FGFR4,988.7689,1794.4488,512.2844,1920.0873,247.6636,750.8813,2342.2939,1480.7136,864.2638,29.746,1534.8432,2342.2939,1133.272255,988.7689,29.746
FLT1,1080.7982,784.1048,473.0789,1116.5939,1908.2944,1427.7321,1240.1434,879.9421,857.7454,1967.1671,782.23,1967.1671,1137.984573,1080.7982,473.0789
FLT3,10.0316,5.1548,1.0455,23.1441,0.5841,26.4395,2.9869,59.3057,47.546,0.5612,65.7666,65.7666,22.05145455,10.0316,0.5612
FLT4,430.4874,216.5023,55.4104,202.1834,238.9019,172.1504,518.5185,542.4301,581.2883,311.4915,154.6167,581.2883,311.2709909,238.9019,55.4104
NR5A1,1623.8142,0,0,0.4367,0,0,0,0,0,0.5612,0,1623.8142,147.7101909,0,0
KDSR,1080.362,781.2411,1851.5421,1493.4498,1091.1215,1398.9424,997.6105,1102.7001,1256.5184,1758.3836,1182.4913,1851.5421,1272.2148,1182.4913,781.2411
GABRA5,0.8723,0.5728,2.6137,3.0568,0.5841,0,3.5842,39.055,3.4509,0,0.8711,39.055,4.969172727,0.8723,0
GHRHR,8.7231,0,3.1364,55.4585,0.5841,0,8.3632,16.3934,0.3834,573.0321,0.4355,573.0321,60.59179091,3.1364,0
GNAI1,841.3477,470.2338,1017.2504,1065.9389,324.1822,333.1375,703.1063,749.2768,627.684,3021.7483,351.4808,3021.7483,864.1260636,703.1063,324.1822
GPR6,0,0,0,0,0,0.5875,1.1947,0,1.5337,263.2244,1.7422,263.2244,24.38931818,0,0
GRIK1,376.4039,1.7183,1.0455,0.8734,0,0,1.1947,0.4822,0.3834,0,0.8711,376.4039,34.81568182,0.8711,0
GUCA2A,0,1.7183,2370.6221,0.8734,0,0.5875,0.5974,7.2324,25.3067,0,7.4042,2370.6221,219.4856364,0.8734,0
GUCY2C,4.7977,5.7276,3648.1965,215.7205,18.1075,1.1751,6.5711,10.1254,379.6012,5904.3076,11.7596,5904.3076,927.8263455,11.7596,1.1751
FOXA2,236.8335,770.3587,3804.4956,558.0786,240.6542,184.4888,461.1708,331.7261,324.0031,2443.1037,466.899,3804.4956,892.8920091,461.1708,184.4888
HSD3B2,5615.9634,1.1455,0,0.8734,0,0,1.1947,0.4822,0,0.5612,0.8711,5615.9634,511.0083182,0.5612,0
IGFALS,30.9672,56.703,9876.1108,75.1092,47.8972,4.1128,7.7658,40.5014,261.5031,0.5612,60.9756,9876.1108,951.1097545,47.8972,0.5612
IMPG1,6.9785,11.4551,0.5227,10.917,0,2.9377,8.9606,8.1967,5.7515,3.3675,5.662,11.4551,5.8863,5.7515,0
JAK1,3837.7494,5239.5844,4060.6377,4257.2052,3682.243,5591.0693,4364.3967,4805.6895,4408.3589,3748.5618,4406.7944,5591.0693,4400.208209,4364.3967,3682.243
JAK2,336.7136,349.9548,264.506,490.393,404.7897,568.7427,504.779,633.0762,361.5798,358.0749,253.0488,633.0762,411.4235,361.5798,253.0488
KCNA4,8.7231,0,1.5682,0,0.5841,0.5875,0,0,1.5337,65.1045,0.4355,65.1045,7.139690909,0.5841,0
KCNB1,26.6056,0.5728,0,8.7336,0.5841,5.8754,2.3895,4.8216,123.0828,359.1974,13.9373,359.1974,49.61819091,5.8754,0
KDR,315.778,385.4657,110.8207,307.8603,646.6121,613.9835,829.1517,627.7724,799.8466,465.8342,427.7003,829.1517,502.8023182,465.8342,110.8207
