gene	uniprot_accession
ILDR1	Q86SU0
TBX15	Q96SF7
CCNL2	Q96S94
KRR1	Q13601
KLRG2	A4D1S0
PNPLA7	Q6ZV29
TSNAXIP1	Q2TAA8
UFL1	O94874
EIF1AX	P47813
ACVR2B	Q13705
CYP4X1	Q8N118
TXN2	Q99757
RRN3	Q9NYV6
LSG1	Q9H089
SKA3	Q8IX90
ZNF574	Q6ZN55
SPINT4	Q6UDR6
SYNPO	Q8N3V7
ELOVL1	Q9BW60
KLK7	P49862
KEL	P23276
ZNF266	Q14584
HOXA11	P31270
LCN6	P62502
FRMD4A	Q9P2Q2
ARMC10	Q8N2F6
OR2T10	Q8NGZ9
PTRH2	Q9Y3E5
GPX1	P07203
EIF3F	O00303
TSGA10	Q9BZW7
USP24	Q9UPU5
B3GALNT1	O75752
INHBA	P08476
SOS2	Q07890
KDM6A	O15550
C8orf88	P0DMB2
KIAA0586	Q9BVV6
MRPL14	Q6P1L8
ACER2	Q5QJU3
IL18BP	O95998
CD244	Q9BZW8
ING3	Q9NXR8
BRMS1L	Q5PSV4
SAMD4B	Q5PRF9
HSPD1	P10809
VWA8	A3KMH1
STOX2	Q9P2F5
GAS2L1	Q99501
TDRP	Q86YL5
ZFAT	Q9P243
NAPB	Q9H115
VAX2	Q9UIW0
ACADVL	P49748
NAA60	Q9H7X0
ADGRF1	Q5T601
DLK1	P80370
STS	P08842
CPA1	P15085
PTPRCAP	Q14761
OCEL1	Q9H607
SH3GLB2	Q9NR46
PRDM12	Q9H4Q4
ZNF7	P17097
DDX3Y	O15523
RASGRF2	O14827
ELMOD1	Q8N336
GORASP2	Q9H8Y8
FHDC1	Q9C0D6
BNIP1	Q12981
VPS18	Q9P253
RNF17	Q9BXT8
TTLL6	Q8N841
LONRF2	Q1L5Z9
TBC1D3H	P0C7X1
MAMDC4	Q6UXC1
COX7A2L	O14548
RPTN	Q6XPR3
EIF4E1B	A6NMX2
SYDE1	Q6ZW31
GATA1	P15976
PORCN	Q9H237
SRGAP2B	P0DMP2
SNRNP200	O75643
TBCK	Q8TEA7
XIRP1	Q702N8
FABP4	P15090
TIGD3	Q6B0B8
ZNF646	O15015
OR2Y1	Q8NGV0
CLUH	O75153
CYP1A2	P05177
DNMT3A	Q9Y6K1
SGMS1	Q86VZ5
KIAA0753	Q2KHM9
ZNF865	P0CJ78
BUD13	Q9BRD0
COX7B	P24311
FAIM2	Q9BWQ8
BATF3	Q9NR55
OR10K2	Q6IF99
CNTNAP5	Q8WYK1
ODAD3	A5D8V7
KDM4E	B2RXH2
LIPA	P38571
ZBTB34	Q8NCN2
CCDC80	Q76M96
TMEM268	Q5VZI3
PTPRZ1	P23471
CTBP1	Q13363
MIEF2	Q96C03
