gene	uniprot_accession
PAGE2	Q7Z2X7
PAGE2	X6R922
PAGE2	X6RD31
IFNK	Q9P0W0
IFNK	A0A7R8GUT1
FAM9B	Q8IZU0
FAM9B	A0A024RBV3
PAGE4	O60829
VSTM2B	A6NLU5
PAGE2B	Q5JRK9
PAGE2B	L8E716
PAGE2B	Q5JRL0
LRRC10	Q5BKY1
LRRC10	Q3B873
LRRC10	Q3KP57
FXYD4	P59646
SLC5A8	Q8N695
FAM9C	Q8IZT9
FAM9C	A0A024RBW5
FAM9C	G3V1I3
FAM9C	H7C346
TAS2R1	Q9NYW7
TAS2R1	Q502V6
TAS2R1	U3KPZ8
TAS2R1	U3KQT0
CYP2B6	P20813
CYP2B6	A0A2R8YFA4
CYP2B6	F2X1A7
CYP2B6	F2X1B0
CYP2B6	M0QZJ2
CYP2B6	Q6NWU1
CYP2B6	Q6NWU2
CYP2B6	Q9UNX8
SSX1	Q16384
PNMA5	Q96PV4
POU3F3	P20264
UTS2	O95399
UTS2	A0AVP6
UTS2	Q5H8X8
SSX5	O60225
SSX5	H7BYZ5
H2AB1	P0C5Y9
MAGEA8	P43361
MAGEA8	L8E9B6
MAGEA8	L8ECC3
OR4D6	Q8NGJ1
OR4D6	A0A126GVK4
SSX4	O60224
FOXA2	Q9Y261
FOXA2	A0A2Z1D411
FOXA2	B0ZTD4
CRISP1	P54107
CRISP1	A0A0K0K1I1
SEMG2	Q02383
SEMG2	A0JLP3
SEMG2	Q6IRW3
FABP7	O15540
IGFBPL1	Q8WX77
IGFBPL1	A0A286RQC1
MYL7	Q01449
MYL7	C9JEG4
MYL7	F8WD94
MYL7	H7BZE4
MYL7	H7C1B1
MYL7	H7C243
MYL7	H7C3E3
MYL7	H7C482
ZNF479	Q96JC4
ZNF479	I0EZ75
CYP2A13	Q16696
CLDN2	P57739
CPN1	P15169
CPN1	B1AP58
CPN1,CPNE1	Q99829
CPNE1	A6PVH9
CPNE1	B0QZ18
CPNE1	E7ENH5
CPNE1	E7EV27
CPNE1	F2Z2V0
CPNE1	H0Y524
CPNE1	Q5JX44
CPNE1	Q5JX45
CPNE1	Q5JX52
CPNE1	Q5JX53
CPNE1	Q5JX54
CPNE1	Q5JX55
CPNE1	Q5JX56
CPNE1	Q5JX57
CPNE1	Q5JX58
CPNE1	Q5JX59
CPNE1	Q5JX60
CPNE1	Q5JX61
LCE1F	Q5T754
TAAR1	Q96RJ0
WFDC6	Q9BQY6
WFDC6	A0A0K0K1K0
NPHS2	Q9NP85
NPHS2	A0A0G3FCS4
NPHS2	A0A0G3FCZ7
NPHS2	A0A0G3FFE0
NPHS2	A0A0G3FHA2
NPHS2	A0A0G3FHB3
NPHS2	A0A0G3FHC3
NPHS2	A0A0G3FHD9
NPHS2	A0A0H3W9R0
NPHS2	A0A0H3W9R1
NPHS2	A0A0H3WA05
NPHS2	A0A0H3WA08
NPHS2	A0A0H3WB22
NPHS2	A0A0H3WB26
NPHS2	A0A0H3WB59
NPHS2	A0A0H3WCW6
NPHS2	A0A0H3WCX1
NPHS2	A0A0U2R9P6
NPHS2	A0A0U2ZWX8
NPHS2	A0A0U3AGW4
NPHS2	A0A0U3AJ41
OR52N2	Q8NGI0
OR52N2	A0A126GWF5
GJB1	P08034
GJB1	A0A2R8YD01
GJB1	C9JWU8
SLC17A8	Q8NDX2
CPB1	P15086
CPB1	C9J5C4
CPB1	C9JUX7
CPB1	C9JXS3
REG1B	P48304
REG1B	H7BZ24
REG1B	Q6ICS1
PPIAL4D	F5H284
GRM3	Q14832
GRM3	A4D1D0
GRM3	C9J2I2
GRM3	C9JIT1
GRM3	C9JUH9
PAGE1	O75459
EPPIN	O95925
EPPIN	B7ZBA9
C17orf64	Q86WR6
C17orf64	A0A0G2JLI9
C17orf64	K7EQ24
MAP3K15	Q6ZN16
MAP3K15	A0A140T8W5
SLC28A2	O43868
SLC28A2	H0YNK4
SLC28A2	H0YNM6
SLC28A2	Q2M2A7
F9	P00740
F9	Q19UG1
F9	Q19UG2
F9	Q19UG3
F9	Q19UG4
F9	Q19UG5
F9	Q19UG6
F9	Q19UG8
F9	Q19UG9
F9	Q19UH5
F9	Q19UH6
F9	Q19UH8
F9	Q19UH9
F9	Q19UI1
F9	Q19UI2
F9	Q19UI3
F9	Q19UI4
F9	Q19UI5
F9	Q19UI6
F9	Q19UJ0
F9	Q19UJ1
F9	Q19UJ4
F9	Q19UJ5
F9	Q19UJ6
F9	Q19UJ7
F9	Q19UJ9
F9	Q19UK0
F9	Q19UK1
F9	Q19UK3
F9	Q19UK4
F9	Q19UK5
F9	Q19UK6
F9	Q19UK7
F9	Q19UK8
F9	Q19UK9
F9	Q19UL0
F9	Q19UL1
F9	Q19UL3
F9	Q19UL5
F9	Q19UL6
F9	Q19UL8
F9	Q19UM0
F9	Q19UM1
F9	Q19UM2
F9	Q7Z7N0
F9	Q86XR9
SYCE1	Q8N0S2
SYCE1	A0A0A0MT28
SYCE1	A0A0B4J1R9
FGFR1	A0A0S2Z3P4
FGFR1	A0A0S2Z3P8
FGFR1	A0A0S2Z3Q6
FGFR1	A0A0S2Z3T4
FGFR1	A0A0S2Z3T9
FGFR1	A0A1B0RPQ4
FGFR1	A0A1V1G4T2
FGFR1	A0A1V1G971
FGFR1	A0A3B3ISD1
FGFR1	A0A6I8PRY1
FGFR1	A0A6I8PTV4
FGFR1	B5A958
FGFR1	B5A959
FGFR1	C1KBH7
FGFR1	C9J1L5
FGFR1	C9J205
FGFR1	D3DSX2
FGFR1	D3DSX4
FGFR1	E7EU09
FGFR1	E9PKF2
FGFR1	E9PKV7
FGFR1	E9PKX3
FGFR1	E9PN14
FGFR1	E9PNM3
FGFR1	E9PQ40
FGFR1	H0YE20
FGFR1,FLG	P11362
FLG	P20930
FLG	I0B0K3
FLG	I0B0K4
FLG	I0B0K5
FLG	I0B0K6
FLG	I0B0K7
FLG	I0B0K8
FLG	L8E7P6
FLG	Q03837
FLG	Q03838
FLG	Q03839
FLG	Q15206
FLG	Q16824
FLG	Q4JFL9
FBN3	Q75N90
FBN3	A0A494C0D8
FBN3	A8KAY2
FBN3	M0QXL8
FBN3	M0R2Q5
FBN3	Q86YS9
FTHL17	Q9BXU8
FTHL17	A0A384NPV7
IRS4	O14654
LUZP4	Q9P127
LUZP4	A1A4W3
LUZP4	Q5JX98
SERPINA7	P05543
CFAP100	Q494V2
CFAP100	E9PQV5
DEFA5	Q01523
BAAT	Q14032
BAAT	A0A024R149
BAAT	A0A024R155
BAAT	A0A6Q8PF60
BAAT	A0A6Q8PHR9
LHX4	Q969G2
LHX4	A0A0S2Z5S4
LHX4	A0A0S2Z5S9
LHX4	H0YKF4
LHX4	Q5RLJ1
LHX4	Q5RLJ2
LHX4	Q5RLJ3
LHX4	Q96JP7
MMP23B	B4DMZ6
MMP23B	D6REP6
MMP23B	H0Y6I4
MMP23B	H0YA69
MMP23B	H0YAE5
MMP23B	J3KRS4
MMP23B	O75086
MMP23B,MMP21	O75900
MMP21	Q8N119
MMP21	A0A494C0E5
MMP21	A0A494C1E5
MMP21	A0A494C1J6
GOLGA6L6	A8MZA4
FAM9A	Q8IZU1
E2F3	O00716
E2F3	A0A087X0B6
E2F3	A0A3Q9JIX6
E2F3	A0A3S9X9Y1
E2F3	Q24JQ3
E2F3	Q499G5
ZNF679	Q8IYX0
PASD1	Q8IV76
CCL22	O00626
NKAIN1	Q4KMZ8
NKAIN1	H0YDA0
NKAIN1	R4GNE2
CYP4F2	P78329
CYP4F2	A0A0A0MQR0
CYP4F2	K7EK90
CYP4F2	K7EPM0
CYP4F2	K7EQI8
CYP4F2	O95743
DKKL1	Q9UK85
DKKL1	M0QYJ2
DKKL1	M0QZP1
DKKL1	M0R1E5
DKKL1	M0R1Q7
DKKL1	M0R2X7
SELENOV	P59797
SELENOV	A0A087WYK0
SELENOV	C9IZ47
SELENOV	M0QZN9
CCT2	P78371
CCT2	F5GWF6
CCT2	F8VQ14
CCT2	V9HW96
XYLB	O75191
XYLB	A0A3B3IRM4
XYLB	A0A3B3IS07
XYLB	C9J0N9
XYLB	F8WBF6
XYLB	Q6PIS3
OR56A3	Q8NH54
OR56A3	A0A126GVG2
OR56A3	A0A126GWL6
PKIB	Q9C010
PKIB	Q5T0Z6
FLG2	Q5D862
FLG2	L8E7D3
MSMB	P08118
MSMB	A0A590UJG9
SLC38A4	Q969I6
SLC38A4	A0A024R0X7
SLC38A4	F8VQY9
SLC38A4	F8VRD9
SLC38A4	H0YHZ8
OR4A16	Q8NH70
OR4A16	A0A126GW87
OR4A16	B9EIN3
HRH3	Q9Y5N1
HRH3	A0A087WZD3
HRH3	A0A0A0MR48
HRH3	Q548M6
HRH3	Q8NI49
HRH3	Q8NI50
HRH3	Q8WXZ9
HRH3	Q8WY00
HRH3	Q8WY01
AGXT	P21549
AGXT	A2V838
OR2B2	Q9GZK3
OR2B2	A0A126GWD0
RLN1	P04808
APOA2	P02652
APOA2	Q76EI7
APOA2	Q9UBQ9
APOA2	V9GYC1
APOA2	V9GYE3
APOA2	V9GYG9
APOA2	V9GYM3
APOA2	V9GYS1
APOA2	V9GYT0
PLS1	Q14651
PLS1	C9J0F3
PLS1	C9J359
PLS1	C9JAM3
PLS1	C9JAM8
PLS1	C9JU08
PLS1	C9JVY2
PLS1	C9JYI1
SCN4A	P35499
SCN4A	O60217
SCN4A	Q9H3L9
MYCN	P04198
MYCN	A0A1W2PPD9
MYCN	A0A5P8TXN7
MYCN	L8E744
SELL	P14151
SELL	A0A0H5AY34
SELL	A0A494C0S7
SELL	Q8WW79
OR52N1	Q8NH53
OR52N1	A0A126GVK1
CRCT1	Q9UGL9
LCE3D	Q9BYE3
LCE3D	Q0IJ72
LCE3D	Q0VAS7
LCE3E	Q5T5B0
GAGE2E	Q4V326
EZHIP	Q86X51
CAPNS2	Q96L46
VCX3A	Q9NNX9
VCX3A	A0A087WUP2
VCX3A	A0JNS4
VCX3A	E7ESE9
VCX3A	Q3SXR8
VCX3A	Q4V756
RBMXL2	O75526
GAGE13	Q4V321
XAGE3	Q8WTP9
XAGE3	D3DXJ9
BGLAP	P02818
S100A7A	Q86SG5
VCX3B	Q9H321
VCX3B	A0A0A0MT50
VCX3B	B5MDK9
VCX3B	E7EUP4
